;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.31094;0.31094;0.31094;nan;nan
0-1-0-0-0-0-0-0-0-0;0.30721;0.30721;0.30721;nan;nan
0-0-1-0-0-0-0-0-0-0;0.30841;0.30841;0.30841;nan;nan
0-0-0-0-0-0-1-0-0-0;0.30679;0.30679;0.30679;nan;nan
0-0-0-0-0-0-0-0-0-1;0.30225;0.30225;0.30225;nan;nan
1-2-0-0-0-0-0-0-0-0;0.29948;0.29948;0.29948;0.32289;0.29987
1-0-2-0-0-0-0-0-0-0;0.29980;0.29980;0.29980;0.32523;0.29936
1-0-0-0-0-0-2-0-0-0;0.29654;0.29654;0.29654;0.32546;0.30304
1-0-0-0-0-0-0-0-0-2;0.29770;0.29770;0.29770;0.32364;0.30322
0-1-2-0-0-0-0-0-0-0;0.30164;0.30164;0.30164;0.31557;0.29863
0-1-0-0-0-0-2-0-0-0;0.29910;0.29910;0.29910;0.31593;0.29789
0-1-0-0-0-0-0-0-0-2;0.29340;0.29340;0.29340;0.32128;0.29705
0-0-1-0-0-0-2-0-0-0;0.30369;0.30369;0.30369;0.30868;0.29371
0-0-1-0-0-0-0-0-0-2;0.29226;0.29226;0.29226;0.31894;0.29792
0-0-0-0-0-0-1-0-0-2;0.29837;0.29837;0.29837;0.30949;0.29691
1-2-3-0-0-0-0-0-0-0;0.30372;0.29413;0.30432;0.32263;0.31316
1-2-0-0-0-0-3-0-0-0;0.30179;0.28765;0.29985;0.31569;0.31654
1-2-0-0-0-0-0-0-0-3;0.29813;0.28761;0.29685;0.31891;0.31565
1-0-2-0-0-0-3-0-0-0;0.30174;0.29066;0.30146;0.32350;0.30873
1-0-2-0-0-0-0-0-0-3;0.29783;0.29404;0.30343;0.32521;0.31424
1-0-0-0-0-0-2-0-0-3;0.30067;0.28919;0.30185;0.31838;0.31274
0-1-2-0-0-0-3-0-0-0;0.30114;0.29279;0.30138;0.32263;0.29989
0-1-2-0-0-0-0-0-0-3;0.29906;0.29588;0.30719;0.32280;0.31106
0-1-0-0-0-0-2-0-0-3;0.30076;0.29136;0.30085;0.31690;0.30711
0-0-1-0-0-0-2-0-0-3;0.29804;0.29073;0.29993;0.32189;0.30101
1-2-3-0-0-0-4-0-0-0;0.29621;0.28656;0.29715;0.31837;0.29730
1-2-3-0-0-0-0-0-0-4;0.29833;0.28832;0.30142;0.31644;0.30632
1-2-0-0-0-0-3-0-0-4;0.29582;0.28461;0.29255;0.31283;0.30081
1-0-2-0-0-0-3-0-0-4;0.29485;0.28859;0.30034;0.32036;0.29810
0-1-2-0-0-0-3-0-0-4;0.29734;0.28855;0.30262;0.31691;0.30133
1-2-3-0-0-0-4-0-0-5;0.30204;0.28926;0.30864;0.31914;0.30587
