network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.48923;0.48923;0.48923;nan;nan;0.48923;0.48923
(b);0.49301;0.49301;0.49301;nan;nan;0.49301;0.49301
(c);0.49219;0.49219;0.49219;nan;nan;0.49219;0.49219
(d);0.48036;0.48036;0.48036;nan;nan;0.48036;0.48036
(e);0.48205;0.48205;0.48205;nan;nan;0.48205;0.48205
(a)>(b);0.49680;0.49680;0.49680;0.48712;0.50474;0.48712;0.49680
(a)>(c);0.49678;0.49678;0.49678;0.48566;0.50211;0.48566;0.49678
(a)>(d);0.49405;0.49405;0.49405;0.48268;0.50378;0.48268;0.49405
(a)>(e);0.49136;0.49136;0.49136;0.48780;0.50084;0.48780;0.49136
(b)>(c);0.49561;0.49561;0.49561;0.49003;0.50216;0.49003;0.49561
(b)>(d);0.48861;0.48861;0.48861;0.48202;0.49644;0.48202;0.48861
(b)>(e);0.48706;0.48706;0.48706;0.48210;0.49415;0.48210;0.48706
(c)>(d);0.49107;0.49107;0.49107;0.48270;0.49917;0.48270;0.49107
(c)>(e);0.49047;0.49047;0.49047;0.48723;0.49930;0.48723;0.49047
(d)>(e);0.48736;0.48736;0.48736;0.48238;0.49608;0.48238;0.48736
(a)>(b)>(c);0.48803;0.50285;0.48940;0.48556;0.49218;0.48443;0.50285
(a)>(b)>(d);0.49243;0.50334;0.49856;0.47762;0.49791;0.48065;0.50334
(a)>(b)>(e);0.48870;0.50265;0.49454;0.47860;0.49623;0.48249;0.50265
(a)>(c)>(d);0.49308;0.50589;0.49669;0.47849;0.49876;0.48339;0.50589
(a)>(c)>(e);0.49084;0.50406;0.49599;0.48125;0.49856;0.48297;0.50406
(a)>(d)>(e);0.48531;0.50162;0.49012;0.47614;0.49062;0.48268;0.50162
(b)>(c)>(d);0.48716;0.50324;0.49621;0.48716;0.49113;0.48283;0.50324
(b)>(c)>(e);0.49029;0.50204;0.49938;0.48729;0.49862;0.48619;0.50204
(b)>(d)>(e);0.48155;0.49429;0.48552;0.47631;0.49095;0.47724;0.49429
(c)>(d)>(e);0.48686;0.49881;0.49058;0.47980;0.49444;0.48602;0.49881
(a)>(b)>(c)>(d);0.49287;0.50058;0.49644;0.48707;0.50004;0.47686;0.50058
(a)>(b)>(c)>(e);0.49239;0.50400;0.49530;0.48611;0.50131;0.47963;0.50400
(a)>(b)>(d)>(e);0.48738;0.50334;0.49320;0.48344;0.49329;0.47842;0.50334
(a)>(c)>(d)>(e);0.48969;0.50616;0.49375;0.48324;0.49257;0.48039;0.50616
(b)>(c)>(d)>(e);0.48458;0.49840;0.49057;0.48390;0.49645;0.47864;0.49840
(a)>(b)>(c)>(d)>(e);0.49231;0.49563;0.49348;0.48613;0.50044;0.47620;0.50380
