;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;2193;2193;2193;10424;0
0-1-0-0-0-0-0-0-0-0;2315;2315;2315;10424;0
0-0-1-0-0-0-0-0-0-0;2273;2273;2273;10424;0
0-0-0-0-0-0-1-0-0-0;2358;2358;2358;10424;0
0-0-0-0-0-0-0-0-0-1;2330;2330;2330;10425;0
1-2-0-0-0-0-0-0-0-0;1976;1976;1976;2539;2513
1-0-2-0-0-0-0-0-0-0;1827;1827;1827;2643;2618
1-0-0-0-0-0-2-0-0-0;1862;1862;1862;2686;2660
1-0-0-0-0-0-0-0-0-2;1808;1808;1808;2729;2708
0-1-2-0-0-0-0-0-0-0;1901;1901;1901;2686;2671
0-1-0-0-0-0-2-0-0-0;1924;1924;1924;2744;2716
0-1-0-0-0-0-0-0-0-2;1864;1864;1864;2777;2748
0-0-1-0-0-0-2-0-0-0;2029;2029;2029;2593;2598
0-0-1-0-0-0-0-0-0-2;1930;1930;1930;2678;2654
0-0-0-0-0-0-1-0-0-2;1961;1961;1961;2729;2715
1-2-3-0-0-0-0-0-0-0;1744;2202;2189;2239;2793
1-2-0-0-0-0-3-0-0-0;1757;2231;2214;2274;2827
1-2-0-0-0-0-0-0-0-3;1719;2202;2195;2254;2882
1-0-2-0-0-0-3-0-0-0;1733;2234;2219;2271;2819
1-0-2-0-0-0-0-0-0-3;1666;2201;2185;2255;2883
1-0-0-0-0-0-2-0-0-3;1690;2257;2241;2293;2914
0-1-2-0-0-0-3-0-0-0;1784;2277;2255;2293;2852
0-1-2-0-0-0-0-0-0-3;1724;2232;2226;2276;2924
0-1-0-0-0-0-2-0-0-3;1735;2278;2266;2311;2954
0-0-1-0-0-0-2-0-0-3;1821;2288;2284;2310;2836
1-2-3-0-0-0-4-0-0-0;1668;2025;1996;2016;2432
1-2-3-0-0-0-0-0-0-4;1616;2002;1979;2007;2411
1-2-0-0-0-0-3-0-0-4;1623;2020;1996;2021;2446
1-0-2-0-0-0-3-0-0-4;1609;2050;2019;2050;2417
0-1-2-0-0-0-3-0-0-4;1661;2093;2070;2082;2437
1-2-3-0-0-0-4-0-0-5;1883;2213;2198;2233;2578
