;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.61380;0.61380;0.61380;0.00000;nan
0-1-0-0-0-0-0-0-0-0;0.61677;0.61677;0.61677;0.00000;nan
0-0-1-0-0-0-0-0-0-0;0.62918;0.62918;0.62918;0.00000;nan
0-0-0-0-0-0-1-0-0-0;0.61661;0.61661;0.61661;0.00000;nan
0-0-0-0-0-0-0-0-0-1;0.62344;0.62344;0.62344;0.00000;nan
1-2-0-0-0-0-0-0-0-0;0.60725;0.60725;0.60725;0.56898;0.60843
1-0-2-0-0-0-0-0-0-0;0.61612;0.61612;0.61612;0.55869;0.60863
1-0-0-0-0-0-2-0-0-0;0.60842;0.60842;0.60842;0.55294;0.60282
1-0-0-0-0-0-0-0-0-2;0.61313;0.61313;0.61313;0.54722;0.60391
0-1-2-0-0-0-0-0-0-0;0.61962;0.61962;0.61962;0.56263;0.60861
0-1-0-0-0-0-2-0-0-0;0.61504;0.61504;0.61504;0.55721;0.60204
0-1-0-0-0-0-0-0-0-2;0.61821;0.61821;0.61821;0.55119;0.60476
0-0-1-0-0-0-2-0-0-0;0.61586;0.61586;0.61586;0.57997;0.60967
0-0-1-0-0-0-0-0-0-2;0.62429;0.62429;0.62429;0.56959;0.61144
0-0-0-0-0-0-1-0-0-2;0.61622;0.61622;0.61622;0.56253;0.60471
1-2-3-0-0-0-0-0-0-0;0.62013;0.61739;0.63449;0.64418;0.61371
1-2-0-0-0-0-3-0-0-0;0.61720;0.61265;0.63157;0.64042;0.61038
1-2-0-0-0-0-0-0-0-3;0.61857;0.61687;0.63474;0.64414;0.61017
1-0-2-0-0-0-3-0-0-0;0.62006;0.61744;0.63710;0.64795;0.61285
1-0-2-0-0-0-0-0-0-3;0.62439;0.62197;0.64172;0.65033;0.61199
1-0-0-0-0-0-2-0-0-3;0.61860;0.61491;0.63604;0.64767;0.60891
0-1-2-0-0-0-3-0-0-0;0.62431;0.61673;0.63574;0.64689;0.61226
0-1-2-0-0-0-0-0-0-3;0.62709;0.62270;0.64013;0.65026;0.61052
0-1-0-0-0-0-2-0-0-3;0.62348;0.61669;0.63606;0.64826;0.60708
0-0-1-0-0-0-2-0-0-3;0.62687;0.61682;0.63460;0.64806;0.61449
1-2-3-0-0-0-4-0-0-0;0.61084;0.61608;0.63541;0.64620;0.62726
1-2-3-0-0-0-0-0-0-4;0.61304;0.61886;0.63741;0.64814;0.63073
1-2-0-0-0-0-3-0-0-4;0.60963;0.61637;0.63638;0.64759;0.62608
1-0-2-0-0-0-3-0-0-4;0.61279;0.61849;0.63936;0.65018;0.62973
0-1-2-0-0-0-3-0-0-4;0.61634;0.61708;0.63612;0.64820;0.63001
1-2-3-0-0-0-4-0-0-5;0.64315;0.62975;0.64396;0.65048;0.62830
