network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.43664;0.43664;0.43664;nan;nan;0.43664;0.43664
(b);0.43822;0.43822;0.43822;nan;nan;0.43822;0.43822
(c);0.43758;0.43758;0.43758;nan;nan;0.43758;0.43758
(d);0.43439;0.43439;0.43439;nan;nan;0.43439;0.43439
(e);0.43483;0.43483;0.43483;nan;nan;0.43483;0.43483
(a)>(b);0.43164;0.43164;0.43164;0.44221;0.43183;0.44221;0.43164
(a)>(c);0.43131;0.43131;0.43131;0.44180;0.43154;0.44180;0.43131
(a)>(d);0.42942;0.42942;0.42942;0.44099;0.42958;0.44099;0.42942
(a)>(e);0.42890;0.42890;0.42890;0.44132;0.42918;0.44132;0.42890
(b)>(c);0.43119;0.43119;0.43119;0.44338;0.43189;0.44338;0.43119
(b)>(d);0.42932;0.42932;0.42932;0.44237;0.43025;0.44237;0.42932
(b)>(e);0.42958;0.42958;0.42958;0.44221;0.42964;0.44221;0.42958
(c)>(d);0.42916;0.42916;0.42916;0.44183;0.43000;0.44183;0.42916
(c)>(e);0.42909;0.42909;0.42909;0.44205;0.43030;0.44205;0.42909
(d)>(e);0.42861;0.42861;0.42861;0.43938;0.42886;0.43938;0.42861
(a)>(b)>(c);0.43613;0.42792;0.43718;0.44423;0.43799;0.44449;0.42751
(a)>(b)>(d);0.43569;0.42618;0.43615;0.44342;0.43748;0.44426;0.42620
(a)>(b)>(e);0.43570;0.42587;0.43624;0.44395;0.43726;0.44439;0.42606
(a)>(c)>(d);0.43524;0.42630;0.43579;0.44323;0.43716;0.44396;0.42622
(a)>(c)>(e);0.43501;0.42612;0.43611;0.44343;0.43726;0.44400;0.42578
(a)>(d)>(e);0.43434;0.42545;0.43478;0.44254;0.43583;0.44317;0.42547
(b)>(c)>(d);0.43534;0.42609;0.43664;0.44401;0.43811;0.44498;0.42549
(b)>(c)>(e);0.43551;0.42598;0.43660;0.44408;0.43818;0.44509;0.42561
(b)>(d)>(e);0.43469;0.42550;0.43553;0.44315;0.43652;0.44372;0.42521
(c)>(d)>(e);0.43400;0.42515;0.43461;0.44266;0.43650;0.44392;0.42521
(a)>(b)>(c)>(d);0.43297;0.42372;0.43372;0.43978;0.43422;0.44589;0.42350
(a)>(b)>(c)>(e);0.43317;0.42349;0.43401;0.43990;0.43458;0.44576;0.42325
(a)>(b)>(d)>(e);0.43247;0.42277;0.43267;0.43890;0.43353;0.44531;0.42308
(a)>(c)>(d)>(e);0.43202;0.42318;0.43269;0.43902;0.43300;0.44535;0.42295
(b)>(c)>(d)>(e);0.43205;0.42257;0.43284;0.43931;0.43364;0.44607;0.42244
(a)>(b)>(c)>(d)>(e);0.43593;0.42969;0.43645;0.44086;0.43695;0.44673;0.42072
