;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;1285;1285;1285;0;0
0-1-0-0-0-0-0-0-0-0;1092;1092;1092;0;0
0-0-1-0-0-0-0-0-0-0;925;925;925;0;0
0-0-0-0-0-0-1-0-0-0;981;981;981;0;0
0-0-0-0-0-0-0-0-0-1;957;957;957;0;0
1-2-0-0-0-0-0-0-0-0;1565;1565;1565;783;805
1-0-2-0-0-0-0-0-0-0;1566;1566;1566;621;628
1-0-0-0-0-0-2-0-0-0;1621;1621;1621;624;643
1-0-0-0-0-0-0-0-0-2;1641;1641;1641;580;591
0-1-2-0-0-0-0-0-0-0;1427;1427;1427;577;591
0-1-0-0-0-0-2-0-0-0;1444;1444;1444;593;608
0-1-0-0-0-0-0-0-0-2;1487;1487;1487;529;541
0-0-1-0-0-0-2-0-0-0;1292;1292;1292;590;639
0-0-1-0-0-0-0-0-0-2;1294;1294;1294;562;567
0-0-0-0-0-0-1-0-0-2;1353;1353;1353;549;561
1-2-3-0-0-0-0-0-0-0;1800;961;944;980;519
1-2-0-0-0-0-3-0-0-0;1830;975;958;991;526
1-2-0-0-0-0-0-0-0-3;1865;964;950;991;472
1-0-2-0-0-0-3-0-0-0;1808;870;856;878;501
1-0-2-0-0-0-0-0-0-3;1818;858;838;889;445
1-0-0-0-0-0-2-0-0-3;1892;881;862;887;452
0-1-2-0-0-0-3-0-0-0;1662;856;833;852;472
0-1-2-0-0-0-0-0-0-3;1692;832;820;859;421
0-1-0-0-0-0-2-0-0-3;1732;845;827;849;428
0-0-1-0-0-0-2-0-0-3;1553;846;839;845;457
1-2-3-0-0-0-4-0-0-0;2001;1129;1100;1104;679
1-2-3-0-0-0-0-0-0-4;2026;1128;1103;1112;665
1-2-0-0-0-0-3-0-0-4;2079;1124;1099;1096;686
1-0-2-0-0-0-3-0-0-4;2025;1040;1012;1019;659
0-1-2-0-0-0-3-0-0-4;1894;1039;1013;1011;638
1-2-3-0-0-0-4-0-0-5;1222;819;800;819;565
