network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.81029;0.81029;0.81029;0.00000;nan;0.81029;0.81029
(b);0.80322;0.80322;0.80322;0.00000;nan;0.80322;0.80322
(c);0.80397;0.80397;0.80397;0.00000;nan;0.80397;0.80397
(d);0.80054;0.80054;0.80054;0.00000;nan;0.80054;0.80054
(e);0.79796;0.79796;0.79796;0.00000;nan;0.79796;0.79796
(a)>(b);0.83951;0.83951;0.83951;0.77269;0.77587;0.77269;0.83951
(a)>(c);0.84172;0.84172;0.84172;0.77244;0.77451;0.77244;0.84172
(a)>(d);0.83061;0.83061;0.83061;0.78057;0.78155;0.78057;0.83061
(a)>(e);0.83428;0.83428;0.83428;0.77296;0.77488;0.77296;0.83428
(b)>(c);0.84485;0.84485;0.84485;0.76301;0.76643;0.76301;0.84485
(b)>(d);0.83560;0.83560;0.83560;0.76784;0.76917;0.76784;0.83560
(b)>(e);0.83449;0.83449;0.83449;0.76676;0.76904;0.76676;0.83449
(c)>(d);0.83763;0.83763;0.83763;0.76735;0.77024;0.76735;0.83763
(c)>(e);0.83937;0.83937;0.83937;0.76173;0.76545;0.76173;0.83937
(d)>(e);0.82542;0.82542;0.82542;0.77377;0.77478;0.77377;0.82542
(a)>(b)>(c);0.85781;0.81284;0.81318;0.80678;0.75243;0.74721;0.85746
(a)>(b)>(d);0.84867;0.80860;0.80957;0.80492;0.75983;0.75557;0.84778
(a)>(b)>(e);0.85019;0.80929;0.81040;0.80436;0.75578;0.75043;0.84924
(a)>(c)>(d);0.85204;0.80853;0.81092;0.80513;0.75942;0.75422;0.84993
(a)>(c)>(e);0.85480;0.80773;0.80970;0.80338;0.75419;0.74822;0.85320
(a)>(d)>(e);0.84437;0.80582;0.80731;0.80137;0.76356;0.75891;0.84278
(b)>(c)>(d);0.85614;0.80817;0.80939;0.80374;0.74868;0.74306;0.85472
(b)>(c)>(e);0.85666;0.80800;0.80812;0.80168;0.74639;0.74092;0.85614
(b)>(d)>(e);0.84730;0.80559;0.80731;0.80098;0.75450;0.75010;0.84575
(c)>(d)>(e);0.84986;0.80469;0.80467;0.79950;0.75243;0.74759;0.84987
(a)>(b)>(c)>(d);0.86291;0.82560;0.82774;0.82485;0.79472;0.73579;0.86095
(a)>(b)>(c)>(e);0.86462;0.82716;0.82967;0.82591;0.79302;0.73170;0.86239
(a)>(b)>(d)>(e);0.85600;0.82337;0.82539;0.82198;0.79236;0.74121;0.85405
(a)>(c)>(d)>(e);0.86099;0.82137;0.82451;0.82046;0.79340;0.73854;0.85804
(b)>(c)>(d)>(e);0.86221;0.82495;0.82633;0.82383;0.78853;0.73084;0.86100
(a)>(b)>(c)>(d)>(e);0.83832;0.80868;0.80967;0.80716;0.78097;0.72460;0.86499
