;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.43791;0.43791;0.43791;nan;nan
0-1-0-0-0-0-0-0-0-0;0.43698;0.43698;0.43698;nan;nan
0-0-1-0-0-0-0-0-0-0;0.43550;0.43550;0.43550;nan;nan
0-0-0-0-0-0-1-0-0-0;0.43399;0.43399;0.43399;nan;nan
0-0-0-0-0-0-0-0-0-1;0.43714;0.43714;0.43714;nan;nan
1-2-0-0-0-0-0-0-0-0;0.43193;0.43193;0.43193;0.44179;0.43276
1-0-2-0-0-0-0-0-0-0;0.43077;0.43077;0.43077;0.44156;0.43101
1-0-0-0-0-0-2-0-0-0;0.42914;0.42914;0.42914;0.44175;0.42941
1-0-0-0-0-0-0-0-0-2;0.43058;0.43058;0.43058;0.44323;0.43147
0-1-2-0-0-0-0-0-0-0;0.43069;0.43069;0.43069;0.44065;0.43043
0-1-0-0-0-0-2-0-0-0;0.42905;0.42905;0.42905;0.44103;0.42949
0-1-0-0-0-0-0-0-0-2;0.43025;0.43025;0.43025;0.44259;0.43131
0-0-1-0-0-0-2-0-0-0;0.42864;0.42864;0.42864;0.44024;0.42884
0-0-1-0-0-0-0-0-0-2;0.43049;0.43049;0.43049;0.44114;0.43098
0-0-0-0-0-0-1-0-0-2;0.42885;0.42885;0.42885;0.44112;0.42920
1-2-3-0-0-0-0-0-0-0;0.43542;0.42773;0.43596;0.44288;0.43723
1-2-0-0-0-0-3-0-0-0;0.43497;0.42640;0.43591;0.44307;0.43733
1-2-0-0-0-0-0-0-0-3;0.43523;0.42756;0.43648;0.44372;0.43825
1-0-2-0-0-0-3-0-0-0;0.43468;0.42540;0.43512;0.44276;0.43655
1-0-2-0-0-0-0-0-0-3;0.43536;0.42666;0.43611;0.44322;0.43796
1-0-0-0-0-0-2-0-0-3;0.43466;0.42521;0.43571;0.44387;0.43719
0-1-2-0-0-0-3-0-0-0;0.43434;0.42573;0.43479;0.44260;0.43596
0-1-2-0-0-0-0-0-0-3;0.43491;0.42691;0.43573;0.44307;0.43729
0-1-0-0-0-0-2-0-0-3;0.43447;0.42532;0.43533;0.44312;0.43725
0-0-1-0-0-0-2-0-0-3;0.43451;0.42514;0.43477;0.44236;0.43648
1-2-3-0-0-0-4-0-0-0;0.43252;0.42362;0.43296;0.43930;0.43371
1-2-3-0-0-0-0-0-0-4;0.43286;0.42450;0.43370;0.43951;0.43444
1-2-0-0-0-0-3-0-0-4;0.43235;0.42296;0.43320;0.43959;0.43437
1-0-2-0-0-0-3-0-0-4;0.43253;0.42251;0.43294;0.43919;0.43381
0-1-2-0-0-0-3-0-0-4;0.43232;0.42290;0.43291;0.43934;0.43324
1-2-3-0-0-0-4-0-0-5;0.43545;0.42957;0.43646;0.44099;0.43640
