;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;2518;2518;2518;10777;0
0-1-0-0-0-0-0-0-0-0;2634;2634;2634;10777;0
0-0-1-0-0-0-0-0-0-0;2589;2589;2589;10777;0
0-0-0-0-0-0-1-0-0-0;2679;2679;2679;10777;0
0-0-0-0-0-0-0-0-0-1;2641;2641;2641;10778;0
1-2-0-0-0-0-0-0-0-0;2289;2289;2289;2871;2844
1-0-2-0-0-0-0-0-0-0;2135;2135;2135;2977;2952
1-0-0-0-0-0-2-0-0-0;2174;2174;2174;3021;2994
1-0-0-0-0-0-0-0-0-2;2110;2110;2110;3062;3041
0-1-2-0-0-0-0-0-0-0;2213;2213;2213;3011;2998
0-1-0-0-0-0-2-0-0-0;2236;2236;2236;3071;3044
0-1-0-0-0-0-0-0-0-2;2168;2168;2168;3102;3073
0-0-1-0-0-0-2-0-0-0;2338;2338;2338;2922;2928
0-0-1-0-0-0-0-0-0-2;2233;2233;2233;3001;2979
0-0-0-0-0-0-1-0-0-2;2268;2268;2268;3053;3041
1-2-3-0-0-0-0-0-0-0;2049;2523;2509;2560;3127
1-2-0-0-0-0-3-0-0-0;2064;2554;2537;2597;3162
1-2-0-0-0-0-0-0-0-3;2019;2521;2513;2572;3217
1-0-2-0-0-0-3-0-0-0;2035;2558;2542;2594;3155
1-0-2-0-0-0-0-0-0-3;1962;2523;2506;2575;3218
1-0-0-0-0-0-2-0-0-3;1989;2579;2562;2614;3249
0-1-2-0-0-0-3-0-0-0;2087;2601;2577;2616;3181
0-1-2-0-0-0-0-0-0-3;2021;2554;2545;2596;3250
0-1-0-0-0-0-2-0-0-3;2036;2600;2587;2631;3283
0-0-1-0-0-0-2-0-0-3;2120;2607;2603;2628;3166
1-2-3-0-0-0-4-0-0-0;1967;2345;2314;2334;2757
1-2-3-0-0-0-0-0-0-4;1909;2320;2294;2322;2733
1-2-0-0-0-0-3-0-0-4;1920;2335;2309;2334;2773
1-0-2-0-0-0-3-0-0-4;1903;2365;2333;2362;2745
0-1-2-0-0-0-3-0-0-4;1957;2408;2385;2396;2764
1-2-3-0-0-0-4-0-0-5;2193;2536;2520;2555;2906
