;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;181;181;181;186;0
0-1-0-0-0-0-0-0-0-0;179;179;179;186;0
0-0-1-0-0-0-0-0-0-0;181;181;181;186;0
0-0-0-0-0-0-1-0-0-0;181;181;181;186;0
0-0-0-0-0-0-0-0-0-1;179;179;179;186;0
1-2-0-0-0-0-0-0-0-0;179;179;179;182;183
1-0-2-0-0-0-0-0-0-0;178;178;178;185;186
1-0-0-0-0-0-2-0-0-0;179;179;179;184;185
1-0-0-0-0-0-0-0-0-2;175;175;175;185;185
0-1-2-0-0-0-0-0-0-0;179;179;179;182;184
0-1-0-0-0-0-2-0-0-0;178;178;178;181;182
0-1-0-0-0-0-0-0-0-2;175;175;175;182;183
0-0-1-0-0-0-2-0-0-0;179;179;179;182;184
0-0-1-0-0-0-0-0-0-2;178;178;178;181;183
0-0-0-0-0-0-1-0-0-2;178;178;178;180;182
1-2-3-0-0-0-0-0-0-0;177;181;180;179;185
1-2-0-0-0-0-3-0-0-0;177;181;180;179;184
1-2-0-0-0-0-0-0-0-3;174;181;180;179;185
1-0-2-0-0-0-3-0-0-0;176;184;183;181;185
1-0-2-0-0-0-0-0-0-3;174;184;183;181;185
1-0-0-0-0-0-2-0-0-3;175;182;181;179;185
0-1-2-0-0-0-3-0-0-0;175;183;181;181;182
0-1-2-0-0-0-0-0-0-3;173;184;181;181;182
0-1-0-0-0-0-2-0-0-3;175;181;180;179;183
0-0-1-0-0-0-2-0-0-3;177;181;181;179;184
1-2-3-0-0-0-4-0-0-0;174;182;179;179;181
1-2-3-0-0-0-0-0-0-4;172;181;178;178;182
1-2-0-0-0-0-3-0-0-4;174;180;178;177;182
1-0-2-0-0-0-3-0-0-4;174;181;180;178;184
0-1-2-0-0-0-3-0-0-4;174;180;179;178;183
1-2-3-0-0-0-4-0-0-5;177;183;182;181;183
