;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.43906;0.43906;0.43906;nan;nan
0-1-0-0-0-0-0-0-0-0;0.43841;0.43841;0.43841;nan;nan
0-0-1-0-0-0-0-0-0-0;0.43687;0.43687;0.43687;nan;nan
0-0-0-0-0-0-1-0-0-0;0.43527;0.43527;0.43527;nan;nan
0-0-0-0-0-0-0-0-0-1;0.43871;0.43871;0.43871;nan;nan
1-2-0-0-0-0-0-0-0-0;0.43352;0.43352;0.43352;0.44278;0.43385
1-0-2-0-0-0-0-0-0-0;0.43234;0.43234;0.43234;0.44246;0.43199
1-0-0-0-0-0-2-0-0-0;0.43064;0.43064;0.43064;0.44271;0.43041
1-0-0-0-0-0-0-0-0-2;0.43232;0.43232;0.43232;0.44418;0.43241
0-1-2-0-0-0-0-0-0-0;0.43227;0.43227;0.43227;0.44184;0.43158
0-1-0-0-0-0-2-0-0-0;0.43061;0.43061;0.43061;0.44218;0.43062
0-1-0-0-0-0-0-0-0-2;0.43208;0.43208;0.43208;0.44371;0.43250
0-0-1-0-0-0-2-0-0-0;0.43013;0.43013;0.43013;0.44146;0.42998
0-0-1-0-0-0-0-0-0-2;0.43227;0.43227;0.43227;0.44235;0.43217
0-0-0-0-0-0-1-0-0-2;0.43043;0.43043;0.43043;0.44244;0.43036
1-2-3-0-0-0-0-0-0-0;0.43711;0.42909;0.43732;0.44421;0.43811
1-2-0-0-0-0-3-0-0-0;0.43661;0.42781;0.43727;0.44448;0.43819
1-2-0-0-0-0-0-0-0-3;0.43714;0.42906;0.43801;0.44517;0.43909
1-0-2-0-0-0-3-0-0-0;0.43639;0.42665;0.43640;0.44403;0.43750
1-0-2-0-0-0-0-0-0-3;0.43732;0.42792;0.43745;0.44450;0.43885
1-0-0-0-0-0-2-0-0-3;0.43652;0.42649;0.43706;0.44520;0.43814
0-1-2-0-0-0-3-0-0-0;0.43617;0.42701;0.43616;0.44386;0.43715
0-1-2-0-0-0-0-0-0-3;0.43689;0.42820;0.43708;0.44441;0.43839
0-1-0-0-0-0-2-0-0-3;0.43630;0.42659;0.43666;0.44449;0.43830
0-0-1-0-0-0-2-0-0-3;0.43637;0.42652;0.43622;0.44379;0.43763
1-2-3-0-0-0-4-0-0-0;0.43441;0.42507;0.43447;0.44074;0.43500
1-2-3-0-0-0-0-0-0-4;0.43489;0.42597;0.43524;0.44102;0.43570
1-2-0-0-0-0-3-0-0-4;0.43427;0.42447;0.43482;0.44119;0.43554
1-0-2-0-0-0-3-0-0-4;0.43447;0.42399;0.43447;0.44073;0.43497
0-1-2-0-0-0-3-0-0-4;0.43431;0.42437;0.43441;0.44085;0.43447
1-2-3-0-0-0-4-0-0-5;0.43707;0.43093;0.43768;0.44227;0.43750
