network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.68429;0.68429;0.68429;inf;nan;0.68429;0.73717
(b);0.69151;0.69151;0.69151;inf;nan;0.69151;0.73941
(c);0.74346;0.74346;0.74346;inf;nan;0.74346;0.82409
(d);0.73458;0.73458;0.73458;inf;nan;0.73458;0.79566
(e);0.71178;0.71178;0.71178;inf;nan;0.71178;0.76431
(a)>(b);0.78814;0.78814;0.78814;0.56977;0.56905;0.58063;0.85952
(a)>(c);0.82274;0.82274;0.82274;0.58108;0.58651;0.59493;0.91636
(a)>(d);0.82024;0.82024;0.82024;0.57618;0.59405;0.58878;0.89554
(a)>(e);0.81155;0.81155;0.81155;0.56489;0.57434;0.57686;0.88443
(b)>(c);0.83430;0.83430;0.83430;0.56979;0.56764;0.57964;0.92892
(b)>(d);0.82923;0.82923;0.82923;0.57396;0.58041;0.58338;0.90786
(b)>(e);0.81241;0.81241;0.81241;0.57294;0.57712;0.58236;0.87829
(c)>(d);0.86355;0.86355;0.86355;0.58814;0.59597;0.60586;0.95932
(c)>(e);0.85175;0.85175;0.85175;0.58440;0.57849;0.59578;0.94664
(d)>(e);0.83127;0.83127;0.83127;0.58785;0.60400;0.60391;0.91119
(a)>(b)>(c);0.90327;0.61922;0.61547;0.64326;0.54572;0.57088;1.01397
(a)>(b)>(d);0.89622;0.63952;0.63310;0.64708;0.54287;0.56202;0.99146
(a)>(b)>(e);0.89366;0.61556;0.60543;0.62839;0.54226;0.56793;0.98454
(a)>(c)>(d);0.92825;0.63624;0.62146;0.64229;0.55819;0.58275;1.04681
(a)>(c)>(e);0.92156;0.62910;0.61775;0.64213;0.54777;0.57557;1.03770
(a)>(d)>(e);0.89435;0.65482;0.64329;0.66534;0.54284;0.56260;0.99496
(b)>(c)>(d);0.94790;0.62631;0.61858;0.63890;0.54606;0.57575;1.06483
(b)>(c)>(e);0.93889;0.61016;0.60685;0.63254;0.54837;0.57585;1.04635
(b)>(d)>(e);0.91126;0.63759;0.62609;0.65241;0.54634;0.56781;1.00741
(c)>(d)>(e);0.94660;0.64617;0.64373;0.66317;0.55900;0.58418;1.05623
(a)>(b)>(c)>(d);0.99586;0.68548;0.67191;0.67763;0.56479;0.57321;1.12550
(a)>(b)>(c)>(e);0.99374;0.67141;0.65721;0.66600;0.55422;0.57752;1.12206
(a)>(b)>(d)>(e);0.96705;0.69016;0.67438;0.68283;0.57059;0.56168;1.07821
(a)>(c)>(d)>(e);0.99619;0.69692;0.67833;0.69071;0.57002;0.57700;1.12876
(b)>(c)>(d)>(e);1.01826;0.69385;0.68351;0.68743;0.55568;0.58255;1.14316
(a)>(b)>(c)>(d)>(e);0.71549;0.60899;0.60145;0.60894;0.53709;0.58259;1.20040
