network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.90145;0.90145;0.90145;nan;nan;0.90145;0.90145
(b);0.90265;0.90265;0.90265;nan;nan;0.90265;0.90265
(c);0.90155;0.90155;0.90155;nan;nan;0.90155;0.90155
(d);0.89817;0.89817;0.89817;nan;nan;0.89817;0.89817
(e);0.89800;0.89800;0.89800;nan;nan;0.89800;0.89800
(a)>(b);0.88729;0.88729;0.88729;0.92127;0.88907;0.92127;0.88729
(a)>(c);0.88749;0.88749;0.88749;0.91964;0.88904;0.91964;0.88749
(a)>(d);0.88459;0.88459;0.88459;0.91815;0.88628;0.91815;0.88459
(a)>(e);0.88393;0.88393;0.88393;0.91946;0.88600;0.91946;0.88393
(b)>(c);0.88600;0.88600;0.88600;0.92284;0.88760;0.92284;0.88600
(b)>(d);0.88406;0.88406;0.88406;0.92142;0.88583;0.92142;0.88406
(b)>(e);0.88311;0.88311;0.88311;0.92212;0.88574;0.92212;0.88311
(c)>(d);0.88412;0.88412;0.88412;0.91979;0.88589;0.91979;0.88412
(c)>(e);0.88373;0.88373;0.88373;0.92067;0.88614;0.92067;0.88373
(d)>(e);0.88367;0.88367;0.88367;0.91529;0.88598;0.91529;0.88367
(a)>(b)>(c);0.90118;0.87929;0.90313;0.92686;0.90796;0.92976;0.87929
(a)>(b)>(d);0.90081;0.87767;0.90283;0.92661;0.90666;0.92910;0.87767
(a)>(b)>(e);0.90040;0.87679;0.90213;0.92645;0.90744;0.93006;0.87679
(a)>(c)>(d);0.89987;0.87820;0.90172;0.92500;0.90595;0.92783;0.87820
(a)>(c)>(e);0.89934;0.87735;0.90116;0.92555;0.90632;0.92882;0.87735
(a)>(d)>(e);0.89758;0.87719;0.90011;0.92398;0.90393;0.92623;0.87719
(b)>(c)>(d);0.90020;0.87658;0.90249;0.92755;0.90731;0.93063;0.87658
(b)>(c)>(e);0.89972;0.87584;0.90189;0.92770;0.90753;0.93141;0.87584
(b)>(d)>(e);0.89820;0.87583;0.90044;0.92574;0.90558;0.92882;0.87583
(c)>(d)>(e);0.89786;0.87656;0.90031;0.92444;0.90479;0.92763;0.87656
(a)>(b)>(c)>(d);0.89389;0.87177;0.89509;0.91429;0.89762;0.93439;0.87177
(a)>(b)>(c)>(e);0.89377;0.87120;0.89476;0.91428;0.89737;0.93529;0.87120
(a)>(b)>(d)>(e);0.89203;0.87093;0.89357;0.91342;0.89604;0.93377;0.87093
(a)>(c)>(d)>(e);0.89159;0.87161;0.89312;0.91299;0.89555;0.93295;0.87161
(b)>(c)>(d)>(e);0.89187;0.86999;0.89332;0.91364;0.89629;0.93499;0.86999
(a)>(b)>(c)>(d)>(e);0.90121;0.88671;0.90378;0.91894;0.90522;0.93793;0.86762
