network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.70117;0.70117;0.70117;0.00000;nan;0.70117;0.70117
(b);0.69520;0.69520;0.69520;0.00000;nan;0.69520;0.69520
(c);0.68787;0.68787;0.68787;0.00000;nan;0.68787;0.68787
(d);0.68760;0.68760;0.68760;0.00000;nan;0.68760;0.68760
(e);0.69039;0.69039;0.69039;0.00000;nan;0.69039;0.69039
(a)>(b);0.69576;0.69576;0.69576;0.62138;0.70326;0.69935;0.69576
(a)>(c);0.69177;0.69177;0.69177;0.61551;0.69960;0.69713;0.69177
(a)>(d);0.68791;0.68791;0.68791;0.63152;0.70259;0.70184;0.68791
(a)>(e);0.69142;0.69142;0.69142;0.62239;0.70135;0.69940;0.69142
(b)>(c);0.69110;0.69110;0.69110;0.60128;0.69821;0.69366;0.69110
(b)>(d);0.68770;0.68770;0.68770;0.61187;0.69753;0.69593;0.68770
(b)>(e);0.69086;0.69086;0.69086;0.61515;0.69816;0.69520;0.69086
(c)>(d);0.68412;0.68412;0.68412;0.60869;0.69538;0.69157;0.68412
(c)>(e);0.68672;0.68672;0.68672;0.60237;0.69524;0.69033;0.68672
(d)>(e);0.68377;0.68377;0.68377;0.62658;0.69657;0.69532;0.68377
(a)>(b)>(c);0.68459;0.71464;0.71559;0.70668;0.69420;0.68638;0.71464
(a)>(b)>(d);0.68186;0.70948;0.71066;0.70478;0.69840;0.69272;0.70948
(a)>(b)>(e);0.68365;0.71385;0.71616;0.70825;0.69589;0.68842;0.71385
(a)>(c)>(d);0.67937;0.70967;0.71339;0.70544;0.69583;0.68814;0.70967
(a)>(c)>(e);0.68182;0.70996;0.71323;0.70473;0.69433;0.68579;0.70996
(a)>(d)>(e);0.68196;0.70495;0.70754;0.69969;0.70053;0.69411;0.70495
(b)>(c)>(d);0.67708;0.71105;0.71285;0.70539;0.69113;0.68286;0.71105
(b)>(c)>(e);0.67912;0.71421;0.71444;0.70573;0.68923;0.68147;0.71421
(b)>(d)>(e);0.67975;0.70831;0.71120;0.70256;0.69436;0.68811;0.70831
(c)>(d)>(e);0.67567;0.70569;0.70577;0.69926;0.69097;0.68383;0.70569
(a)>(b)>(c)>(d);0.67178;0.70988;0.71273;0.70903;0.71497;0.67902;0.70988
(a)>(b)>(c)>(e);0.67333;0.71289;0.71671;0.71214;0.71582;0.67580;0.71289
(a)>(b)>(d)>(e);0.67391;0.70820;0.71165;0.70717;0.71257;0.68407;0.70820
(a)>(c)>(d)>(e);0.67226;0.70548;0.71011;0.70535;0.71268;0.67993;0.70548
(b)>(c)>(d)>(e);0.66836;0.70849;0.71052;0.70768;0.71227;0.67451;0.70849
(a)>(b)>(c)>(d)>(e);0.71023;0.71506;0.71632;0.71304;0.71174;0.67082;0.71221
