;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;5;5;5;0;0
0-1-0-0-0-0-0-0-0-0;7;7;7;0;0
0-0-1-0-0-0-0-0-0-0;5;5;5;0;0
0-0-0-0-0-0-1-0-0-0;5;5;5;0;0
0-0-0-0-0-0-0-0-0-1;7;7;7;0;0
1-2-0-0-0-0-0-0-0-0;7;7;7;4;3
1-0-2-0-0-0-0-0-0-0;8;8;8;1;0
1-0-0-0-0-0-2-0-0-0;7;7;7;2;1
1-0-0-0-0-0-0-0-0-2;11;11;11;1;1
0-1-2-0-0-0-0-0-0-0;7;7;7;4;2
0-1-0-0-0-0-2-0-0-0;8;8;8;5;4
0-1-0-0-0-0-0-0-0-2;11;11;11;4;3
0-0-1-0-0-0-2-0-0-0;7;7;7;4;2
0-0-1-0-0-0-0-0-0-2;8;8;8;5;3
0-0-0-0-0-0-1-0-0-2;8;8;8;6;4
1-2-3-0-0-0-0-0-0-0;9;5;6;7;1
1-2-0-0-0-0-3-0-0-0;9;5;6;7;2
1-2-0-0-0-0-0-0-0-3;12;5;6;7;1
1-0-2-0-0-0-3-0-0-0;10;2;3;5;1
1-0-2-0-0-0-0-0-0-3;12;2;3;5;1
1-0-0-0-0-0-2-0-0-3;11;4;5;7;1
0-1-2-0-0-0-3-0-0-0;11;3;5;5;4
0-1-2-0-0-0-0-0-0-3;13;2;5;5;4
0-1-0-0-0-0-2-0-0-3;11;5;6;7;3
0-0-1-0-0-0-2-0-0-3;9;5;5;7;2
1-2-3-0-0-0-4-0-0-0;12;4;7;7;5
1-2-3-0-0-0-0-0-0-4;14;5;8;8;4
1-2-0-0-0-0-3-0-0-4;12;6;8;9;4
1-0-2-0-0-0-3-0-0-4;12;5;6;8;2
0-1-2-0-0-0-3-0-0-4;12;6;7;8;3
1-2-3-0-0-0-4-0-0-5;9;3;4;5;3
