;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.08144;0.08144;0.08144;nan;nan
0-1-0-0-0-0-0-0-0-0;0.10325;0.10325;0.10325;nan;nan
0-0-1-0-0-0-0-0-0-0;0.10019;0.10019;0.10019;nan;nan
0-0-0-0-0-0-1-0-0-0;0.10045;0.10045;0.10045;nan;nan
0-0-0-0-0-0-0-0-0-1;0.09433;0.09433;0.09433;nan;nan
1-2-0-0-0-0-0-0-0-0;0.08727;0.08727;0.08727;0.10478;0.08169
1-0-2-0-0-0-0-0-0-0;0.08458;0.08458;0.08458;0.10182;0.07602
1-0-0-0-0-0-2-0-0-0;0.08163;0.08163;0.08163;0.10481;0.07167
1-0-0-0-0-0-0-0-0-2;0.07809;0.07809;0.07809;0.10516;0.06842
0-1-2-0-0-0-0-0-0-0;0.09501;0.09501;0.09501;0.11142;0.08983
0-1-0-0-0-0-2-0-0-0;0.09184;0.09184;0.09184;0.11713;0.08924
0-1-0-0-0-0-0-0-0-2;0.08819;0.08819;0.08819;0.11152;0.08705
0-0-1-0-0-0-2-0-0-0;0.08860;0.08860;0.08860;0.11051;0.08420
0-0-1-0-0-0-0-0-0-2;0.08319;0.08319;0.08319;0.11392;0.08215
0-0-0-0-0-0-1-0-0-2;0.08429;0.08429;0.08429;0.11071;0.07889
1-2-3-0-0-0-0-0-0-0;0.09541;0.07959;0.09060;0.10992;0.09658
1-2-0-0-0-0-3-0-0-0;0.09079;0.07717;0.08968;0.11708;0.09178
1-2-0-0-0-0-0-0-0-3;0.08674;0.07787;0.08732;0.11294;0.09353
1-0-2-0-0-0-3-0-0-0;0.09111;0.07483;0.08788;0.11361;0.09000
1-0-2-0-0-0-0-0-0-3;0.08683;0.07376;0.08469;0.11365;0.09261
1-0-0-0-0-0-2-0-0-3;0.08813;0.06718;0.08380;0.10874;0.09108
0-1-2-0-0-0-3-0-0-0;0.09524;0.08242;0.09528;0.12050;0.09885
0-1-2-0-0-0-0-0-0-3;0.09413;0.08115;0.09439;0.11531;0.10065
0-1-0-0-0-0-2-0-0-3;0.09555;0.07587;0.09201;0.11387;0.10249
0-0-1-0-0-0-2-0-0-3;0.09213;0.07460;0.09096;0.11704;0.09932
1-2-3-0-0-0-4-0-0-0;0.08966;0.07567;0.08646;0.10993;0.08737
1-2-3-0-0-0-0-0-0-4;0.08948;0.07629;0.08940;0.11179;0.08871
1-2-0-0-0-0-3-0-0-4;0.08820;0.06978;0.08333;0.10636;0.09173
1-0-2-0-0-0-3-0-0-4;0.08535;0.06906;0.08245;0.10730;0.08575
0-1-2-0-0-0-3-0-0-4;0.08897;0.07426;0.08611;0.10976;0.08919
1-2-3-0-0-0-4-0-0-5;0.08770;0.07967;0.09285;0.10868;0.09132
