network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.89645;0.89645;0.89645;nan;nan;0.89645;0.89645
(b);0.89731;0.89731;0.89731;nan;nan;0.89731;0.89731
(c);0.89408;0.89408;0.89408;nan;nan;0.89408;0.89408
(d);0.89231;0.89231;0.89231;nan;nan;0.89231;0.89231
(e);0.89170;0.89170;0.89170;nan;nan;0.89170;0.89170
(a)>(b);0.89475;0.89475;0.89475;0.89912;0.89871;0.89912;0.89475
(a)>(c);0.89320;0.89320;0.89320;0.89728;0.89701;0.89728;0.89320
(a)>(d);0.89269;0.89269;0.89269;0.89608;0.89592;0.89608;0.89269
(a)>(e);0.89214;0.89214;0.89214;0.89589;0.89595;0.89589;0.89214
(b)>(c);0.89302;0.89302;0.89302;0.89798;0.89762;0.89798;0.89302
(b)>(d);0.89280;0.89280;0.89280;0.89688;0.89704;0.89688;0.89280
(b)>(e);0.89231;0.89231;0.89231;0.89660;0.89687;0.89660;0.89231
(c)>(d);0.89093;0.89093;0.89093;0.89519;0.89520;0.89519;0.89093
(c)>(e);0.89067;0.89067;0.89067;0.89508;0.89553;0.89508;0.89067
(d)>(e);0.89015;0.89015;0.89015;0.89357;0.89348;0.89357;0.89015
(a)>(b)>(c);0.89511;0.89433;0.89825;0.89476;0.90175;0.89799;0.89433
(a)>(b)>(d);0.89536;0.89382;0.89807;0.89401;0.90119;0.89710;0.89382
(a)>(b)>(e);0.89488;0.89331;0.89749;0.89352;0.90152;0.89715;0.89331
(a)>(c)>(d);0.89374;0.89296;0.89659;0.89294;0.89994;0.89600;0.89296
(a)>(c)>(e);0.89321;0.89276;0.89630;0.89264;0.89989;0.89587;0.89276
(a)>(d)>(e);0.89263;0.89229;0.89532;0.89254;0.89829;0.89521;0.89229
(b)>(c)>(d);0.89415;0.89304;0.89753;0.89275;0.90133;0.89656;0.89304
(b)>(c)>(e);0.89358;0.89255;0.89697;0.89240;0.90139;0.89651;0.89255
(b)>(d)>(e);0.89276;0.89241;0.89557;0.89232;0.89940;0.89567;0.89241
(c)>(d)>(e);0.89161;0.89131;0.89469;0.89129;0.89833;0.89483;0.89131
(a)>(b)>(c)>(d);0.89399;0.89119;0.89649;0.89631;0.89870;0.89628;0.89119
(a)>(b)>(c)>(e);0.89388;0.89089;0.89627;0.89590;0.89872;0.89627;0.89089
(a)>(b)>(d)>(e);0.89343;0.89073;0.89563;0.89554;0.89792;0.89577;0.89073
(a)>(c)>(d)>(e);0.89210;0.89037;0.89477;0.89486;0.89686;0.89508;0.89037
(b)>(c)>(d)>(e);0.89262;0.88994;0.89514;0.89452;0.89784;0.89550;0.88994
(a)>(b)>(c)>(d)>(e);0.89585;0.89554;0.89777;0.89627;0.89974;0.89526;0.89043
