network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.62825;0.62825;0.62825;0.00000;nan;0.62825;0.62017
(b);0.62292;0.62292;0.62292;0.00000;nan;0.62292;0.61536
(c);0.61238;0.61238;0.61238;0.00000;nan;0.61238;0.60053
(d);0.61277;0.61277;0.61277;0.00000;nan;0.61277;0.60305
(e);0.61424;0.61424;0.61424;0.00000;nan;0.61424;0.60634
(a)>(b);0.63278;0.63278;0.63278;0.54672;0.64398;0.61532;0.62174
(a)>(c);0.62666;0.62666;0.62666;0.54019;0.63821;0.61181;0.61265
(a)>(d);0.62493;0.62493;0.62493;0.55364;0.64191;0.61529;0.61313
(a)>(e);0.62810;0.62810;0.62810;0.54460;0.64114;0.61199;0.61709
(b)>(c);0.62703;0.62703;0.62703;0.52643;0.63869;0.60732;0.61257
(b)>(d);0.62547;0.62547;0.62547;0.53528;0.63882;0.60882;0.61321
(b)>(e);0.62824;0.62824;0.62824;0.53733;0.63943;0.60726;0.61767
(c)>(d);0.61949;0.61949;0.61949;0.53135;0.63424;0.60370;0.60481
(c)>(e);0.62175;0.62175;0.62175;0.52516;0.63424;0.60184;0.60764
(d)>(e);0.61838;0.61838;0.61838;0.54807;0.63313;0.60820;0.60608
(a)>(b)>(c);0.61197;0.65641;0.64232;0.61121;0.62464;0.59628;0.60861
(a)>(b)>(d);0.61030;0.65281;0.63842;0.60881;0.62866;0.60089;0.60985
(a)>(b)>(e);0.61165;0.65688;0.64308;0.61101;0.62644;0.59648;0.61176
(a)>(c)>(d);0.60639;0.65114;0.63942;0.60881;0.62510;0.59621;0.60161
(a)>(c)>(e);0.60843;0.65179;0.63922;0.60743;0.62345;0.59331;0.60462
(a)>(d)>(e);0.60889;0.64676;0.63373;0.60404;0.62871;0.60139;0.60728
(b)>(c)>(d);0.60464;0.65371;0.63930;0.60693;0.62137;0.59058;0.60121
(b)>(c)>(e);0.60617;0.65666;0.64055;0.60659;0.61959;0.58867;0.60489
(b)>(d)>(e);0.60666;0.65098;0.63681;0.60509;0.62319;0.59517;0.60646
(c)>(d)>(e);0.60181;0.64670;0.63112;0.60163;0.61916;0.59076;0.59988
(a)>(b)>(c)>(d);0.60485;0.65458;0.64417;0.62514;0.64735;0.58421;0.59733
(a)>(b)>(c)>(e);0.60619;0.65743;0.64757;0.62732;0.64825;0.58092;0.59859
(a)>(b)>(d)>(e);0.60734;0.65330;0.64335;0.62324;0.64542;0.58829;0.60214
(a)>(c)>(d)>(e);0.60437;0.64948;0.64091;0.62081;0.64446;0.58422;0.59568
(b)>(c)>(d)>(e);0.60142;0.65315;0.64163;0.62183;0.64460;0.57880;0.59502
(a)>(b)>(c)>(d)>(e);0.63582;0.65257;0.64205;0.62505;0.63956;0.57338;0.59027
