;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.10393;0.10393;0.10393;nan;nan
0-1-0-0-0-0-0-0-0-0;0.09549;0.09549;0.09549;nan;nan
0-0-1-0-0-0-0-0-0-0;0.09723;0.09723;0.09723;nan;nan
0-0-0-0-0-0-1-0-0-0;0.10325;0.10325;0.10325;nan;nan
0-0-0-0-0-0-0-0-0-1;0.10919;0.10919;0.10919;nan;nan
1-2-0-0-0-0-0-0-0-0;0.11011;0.11011;0.11011;0.07941;0.11159
1-0-2-0-0-0-0-0-0-0;0.11450;0.11450;0.11450;0.07723;0.11192
1-0-0-0-0-0-2-0-0-0;0.12437;0.12437;0.12437;0.07748;0.12589
1-0-0-0-0-0-0-0-0-2;0.12551;0.12551;0.12551;0.07814;0.11688
0-1-2-0-0-0-0-0-0-0;0.10465;0.10465;0.10465;0.08389;0.10521
0-1-0-0-0-0-2-0-0-0;0.11501;0.11501;0.11501;0.07843;0.11044
0-1-0-0-0-0-0-0-0-2;0.11977;0.11977;0.11977;0.08005;0.11254
0-0-1-0-0-0-2-0-0-0;0.11057;0.11057;0.11057;0.08511;0.10939
0-0-1-0-0-0-0-0-0-2;0.12315;0.12315;0.12315;0.08033;0.11398
0-0-0-0-0-0-1-0-0-2;0.12364;0.12364;0.12364;0.08959;0.12151
1-2-3-0-0-0-0-0-0-0;0.10672;0.11948;0.10580;0.07765;0.09182
1-2-0-0-0-0-3-0-0-0;0.11282;0.13266;0.11498;0.07848;0.09046
1-2-0-0-0-0-0-0-0-3;0.12168;0.12895;0.11803;0.08014;0.09057
1-0-2-0-0-0-3-0-0-0;0.10880;0.12561;0.10670;0.07997;0.09453
1-0-2-0-0-0-0-0-0-3;0.11745;0.12463;0.10884;0.08045;0.08897
1-0-0-0-0-0-2-0-0-3;0.11772;0.13647;0.11331;0.08606;0.09372
0-1-2-0-0-0-3-0-0-0;0.10949;0.11798;0.10507;0.07658;0.09727
0-1-2-0-0-0-0-0-0-3;0.11643;0.11766;0.10688;0.07718;0.09736
0-1-0-0-0-0-2-0-0-3;0.11185;0.12421;0.10457;0.07954;0.08994
0-0-1-0-0-0-2-0-0-3;0.11577;0.12960;0.10992;0.07950;0.09573
1-2-3-0-0-0-4-0-0-0;0.11329;0.13212;0.11499;0.08702;0.10548
1-2-3-0-0-0-0-0-0-4;0.11884;0.12839;0.11202;0.08268;0.10566
1-2-0-0-0-0-3-0-0-4;0.12096;0.14035;0.12360;0.09007;0.10244
1-0-2-0-0-0-3-0-0-4;0.12327;0.13845;0.12102;0.09028;0.10584
0-1-2-0-0-0-3-0-0-4;0.11908;0.13300;0.11193;0.08488;0.10457
1-2-3-0-0-0-4-0-0-5;0.11638;0.12300;0.10088;0.08369;0.09970
