network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.42619;0.42619;0.42619;inf;nan;0.42619;0.42619
(b);0.43843;0.43843;0.43843;inf;nan;0.43843;0.43843
(c);0.45377;0.45377;0.45377;inf;nan;0.45377;0.45377
(d);0.45434;0.45434;0.45434;inf;nan;0.45434;0.45434
(e);0.44847;0.44847;0.44847;inf;nan;0.44847;0.44847
(a)>(b);0.43727;0.43727;0.43727;0.60932;0.42195;0.42989;0.43727
(a)>(c);0.44558;0.44558;0.44558;0.62466;0.42938;0.43446;0.44558
(a)>(d);0.45368;0.45368;0.45368;0.58349;0.42331;0.42482;0.45368
(a)>(e);0.44631;0.44631;0.44631;0.60671;0.42583;0.42981;0.44631
(b)>(c);0.44697;0.44697;0.44697;0.66312;0.43223;0.44162;0.44697
(b)>(d);0.45412;0.45412;0.45412;0.63434;0.43364;0.43693;0.45412
(b)>(e);0.44746;0.44746;0.44746;0.62562;0.43233;0.43843;0.44746
(c)>(d);0.46174;0.46174;0.46174;0.64288;0.43806;0.44599;0.46174
(c)>(e);0.45621;0.45621;0.45621;0.66011;0.43835;0.44859;0.45621
(d)>(e);0.46248;0.46248;0.46248;0.59596;0.43561;0.43819;0.46248
(a)>(b)>(c);0.46073;0.39930;0.39744;0.41507;0.44050;0.45692;0.39930
(a)>(b)>(d);0.46658;0.40948;0.40713;0.41889;0.43184;0.44359;0.40948
(a)>(b)>(e);0.46273;0.40085;0.39633;0.41193;0.43701;0.45259;0.40085
(a)>(c)>(d);0.47196;0.40910;0.40176;0.41756;0.43713;0.45320;0.40910
(a)>(c)>(e);0.46666;0.40852;0.40207;0.41898;0.44023;0.45817;0.40852
(a)>(d)>(e);0.46635;0.41853;0.41334;0.42920;0.42748;0.44069;0.41853
(b)>(c)>(d);0.47693;0.40637;0.40283;0.41766;0.44691;0.46443;0.40637
(b)>(c)>(e);0.47250;0.40014;0.39969;0.41697;0.45090;0.46741;0.40014
(b)>(d)>(e);0.47112;0.41181;0.40607;0.42337;0.44017;0.45326;0.41181
(c)>(d)>(e);0.48000;0.41706;0.41689;0.43009;0.44723;0.46234;0.41706
(a)>(b)>(c)>(d);0.48859;0.40868;0.40306;0.41037;0.39866;0.47270;0.40868
(a)>(b)>(c)>(e);0.48515;0.40274;0.39527;0.40422;0.39700;0.47972;0.40274
(a)>(b)>(d)>(e);0.48388;0.41204;0.40519;0.41409;0.40337;0.46184;0.41204
(a)>(c)>(d)>(e);0.48751;0.41748;0.40823;0.41774;0.40315;0.47073;0.41748
(b)>(c)>(d)>(e);0.49619;0.41146;0.40742;0.41306;0.40397;0.48256;0.41146
(a)>(b)>(c)>(d)>(e);0.40800;0.39849;0.39602;0.40245;0.40501;0.49071;0.40409
