;v=-1_a=0;v=0_a=-1;v=0_a=0;v=0_a=1;v=1_a=0
1-0-0-0-0-0-0-0-0-0;0.50370;0.50370;0.50370;nan;nan
0-1-0-0-0-0-0-0-0-0;0.49405;0.49405;0.49405;nan;nan
0-0-1-0-0-0-0-0-0-0;0.49417;0.49417;0.49417;nan;nan
0-0-0-0-0-0-1-0-0-0;0.48951;0.48951;0.48951;nan;nan
0-0-0-0-0-0-0-0-0-1;0.49423;0.49423;0.49423;nan;nan
1-2-0-0-0-0-0-0-0-0;0.50314;0.50314;0.50314;0.49291;0.50685
1-0-2-0-0-0-0-0-0-0;0.50113;0.50113;0.50113;0.49572;0.51270
1-0-0-0-0-0-2-0-0-0;0.49745;0.49745;0.49745;0.49225;0.49940
1-0-0-0-0-0-0-0-0-2;0.49870;0.49870;0.49870;0.49307;0.51148
0-1-2-0-0-0-0-0-0-0;0.49870;0.49870;0.49870;0.48912;0.50633
0-1-0-0-0-0-2-0-0-0;0.49404;0.49404;0.49404;0.48851;0.50242
0-1-0-0-0-0-0-0-0-2;0.49864;0.49864;0.49864;0.48715;0.50337
0-0-1-0-0-0-2-0-0-0;0.49715;0.49715;0.49715;0.49570;0.51270
0-0-1-0-0-0-0-0-0-2;0.50141;0.50141;0.50141;0.48681;0.50595
0-0-0-0-0-0-1-0-0-2;0.49370;0.49370;0.49370;0.49021;0.50269
1-2-3-0-0-0-0-0-0-0;0.49415;0.50680;0.49928;0.48980;0.49844
1-2-0-0-0-0-3-0-0-0;0.49460;0.50252;0.49549;0.48874;0.50122
1-2-0-0-0-0-0-0-0-3;0.49344;0.50557;0.49780;0.48801;0.50026
1-0-2-0-0-0-3-0-0-0;0.49834;0.50889;0.50396;0.48293;0.50674
1-0-2-0-0-0-0-0-0-3;0.49789;0.50757;0.50304;0.48069;0.50419
1-0-0-0-0-0-2-0-0-3;0.49349;0.50715;0.50104;0.48681;0.50246
0-1-2-0-0-0-3-0-0-0;0.49412;0.50680;0.49827;0.48029;0.50399
0-1-2-0-0-0-0-0-0-3;0.49039;0.50530;0.49154;0.48472;0.49093
0-1-0-0-0-0-2-0-0-3;0.49183;0.50856;0.50257;0.48969;0.50045
0-0-1-0-0-0-2-0-0-3;0.49406;0.50507;0.49919;0.48157;0.50394
1-2-3-0-0-0-4-0-0-0;0.50084;0.50565;0.50140;0.48469;0.50985
1-2-3-0-0-0-0-0-0-4;0.49336;0.50700;0.49717;0.48909;0.49930
1-2-0-0-0-0-3-0-0-4;0.49502;0.50526;0.50053;0.49074;0.50502
1-0-2-0-0-0-3-0-0-4;0.49653;0.50390;0.49619;0.48207;0.51031
0-1-2-0-0-0-3-0-0-4;0.49461;0.50419;0.49934;0.48845;0.50491
1-2-3-0-0-0-4-0-0-5;0.49388;0.50807;0.49763;0.48849;0.50311
