network_order;results
mask_rcnn_X-101-64x4d-FPN;0.06944
cascade_mask_rcnn_X-101-64x4d-FPN;0.09708
hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;0.07500
cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;0.05000
detectors_htc_r101_20e_coco;0.12500
gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);nan
scnet_X-101-64x4d-FPN;0.14688
mask_rcnn_r50_fpn_carafe_1x_coco;0.03750
mask_rcnn_r101_fpn_gn-all_3x_coco;0.07500
mask_rcnn_r101_fpn_gn_ws-all_20_23_24e_coco;nan
