hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;detectors_htc_r101_20e_coco;cascade_mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);tp%;tp_s%;tp_m%;tp_l%;fp%;fp_s%;fp_m%;fp_l%;tn%;tn_s%;tn_m%;tn_l%;fn%;fn_s%;fn_m%;fn_l%;oa_full;oa_correct;p_full;p_correct;r_full;r_correct;f1_full;f1_correct;iou_full;iou_correct;cg%;cg_s%;cg_m%;cg_l%;ng%;ng_s%;ng_m%;ng_l%;tcg%;tcg_s%;tcg_m%;tcg_l%;tng%;tng_s%;tng_m%;tng_l%;tig%;tig_s%;tig_m%;tig_l%;ugr11%;ugr11_s%;ugr11_m%;ugr11_l%;ugr31%;ugr31_s%;ugr31_m%;ugr31_l%;ugr13%;ugr13_s%;ugr13_m%;ugr13_l%
1;0;0;0;0;0.46151;0.49306;0.48923;0.46114;0.05083;0.17569;0.10267;0.05011;0.43494;0.26458;0.30792;0.43664;0.05273;0.06667;0.10019;0.05212;0.62048;0.89645;0.62394;0.90145;0.62017;0.89600;0.61882;0.89405;0.56355;0.81419;0.78946;0.02210;0.45923;0.81029;0.21054;0.97790;0.54077;0.18971;0.69216;0.02051;0.32822;0.71336;0.18459;0.90769;0.38650;0.16702;0.12325;0.07179;0.28528;0.11962;0.44476;47.75000;2.04673;0.40181;0.97814;136.25000;4.40187;0.87007;0.80089;54.75000;3.78505;0.73717
0;1;0;0;0;0.46072;0.56771;0.49301;0.46032;0.05003;0.17188;0.11112;0.04929;0.43659;0.13542;0.30305;0.43822;0.05266;0.12500;0.09282;0.05217;0.61624;0.89731;0.61990;0.90265;0.61536;0.89603;0.61441;0.89465;0.55986;0.81521;0.78222;0.01105;0.43304;0.80322;0.21778;0.98895;0.56696;0.19678;0.68676;0.01026;0.28955;0.70932;0.19120;0.91795;0.37910;0.17378;0.12204;0.07179;0.33134;0.11690;0.45611;96.50000;2.45361;0.40979;1.01293;275.50000;5.07216;0.89977;0.81151;110.50000;4.74227;0.73941
0;0;1;0;0;0.45818;0.52288;0.49219;0.45775;0.05032;0.23335;0.09879;0.04966;0.43590;0.14669;0.30440;0.43758;0.05560;0.09708;0.10463;0.05501;0.60311;0.89408;0.60815;0.90155;0.60053;0.89026;0.60101;0.89097;0.54590;0.80927;0.78278;0.02198;0.42795;0.80397;0.21722;0.97802;0.57205;0.19603;0.67456;0.02105;0.28994;0.69578;0.18719;0.93684;0.38757;0.16964;0.13825;0.04211;0.32249;0.13458;0.48246;46.50000;2.44898;0.43725;1.03746;135.50000;5.12245;0.92489;0.89237;50.50000;4.67347;0.82409
0;0;0;1;0;0.45934;0.47361;0.48036;0.45909;0.05257;0.11597;0.10747;0.05191;0.43297;0.33472;0.31238;0.43439;0.05512;0.07569;0.09978;0.05460;0.60381;0.89231;0.60778;0.89817;0.60305;0.89118;0.60213;0.88983;0.54633;0.80736;0.77934;0.02198;0.41850;0.80054;0.22066;0.97802;0.58150;0.19946;0.67668;0.02073;0.28024;0.69865;0.19159;0.92228;0.38938;0.17407;0.13173;0.05699;0.33038;0.12727;0.47779;47.25000;2.56842;0.43133;1.04405;136.25000;5.34737;0.92964;0.86713;52.75000;4.92632;0.79566
0;0;0;0;1;0.45828;0.48750;0.48205;0.45802;0.05251;0.03750;0.11431;0.05185;0.43342;0.35000;0.30408;0.43483;0.05579;0.12500;0.09956;0.05530;0.60770;0.89170;0.61200;0.89800;0.60634;0.88970;0.60581;0.88893;0.54935;0.80608;0.77693;0.01105;0.41014;0.79796;0.22307;0.98895;0.58986;0.20204;0.68151;0.01053;0.29085;0.70246;0.19567;0.94211;0.41830;0.17786;0.12282;0.04737;0.29085;0.11968;0.46734;94.00000;2.43820;0.42357;1.04156;273.00000;5.31461;0.92997;0.82778;103.00000;4.43820;0.76431
1;2;0;0;0;0.46499;0.54375;0.49680;0.46453;0.05966;0.15375;0.12402;0.05878;0.42976;0.19917;0.29392;0.43164;0.04558;0.10333;0.08526;0.04504;0.61167;0.89475;0.60657;0.88729;0.62174;0.90948;0.61078;0.89344;0.55598;0.81329;0.81804;0.02747;0.48069;0.83951;0.18196;0.97253;0.51931;0.16049;0.68362;0.02427;0.28718;0.70724;0.15206;0.85922;0.31026;0.13520;0.16431;0.11650;0.40256;0.15756;0.46279;40.20000;2.48214;0.41396;0.90767;111.00000;4.64286;0.79630;0.94351;49.80000;5.28571;0.85952
1;0;2;0;0;0.46380;0.53519;0.49678;0.46331;0.05931;0.17519;0.11322;0.05852;0.42941;0.22889;0.29573;0.43131;0.04749;0.06074;0.09426;0.04686;0.60408;0.89320;0.60022;0.88749;0.61265;0.90588;0.60303;0.89165;0.54809;0.81041;0.82008;0.02762;0.48548;0.84172;0.17992;0.97238;0.51452;0.15828;0.67631;0.02500;0.29471;0.69890;0.14838;0.88000;0.31234;0.13142;0.17531;0.09500;0.39295;0.16967;0.47862;39.00000;2.39316;0.43082;0.91740;109.40000;4.51282;0.80691;0.99706;46.60000;5.05983;0.91636
1;0;0;2;0;0.46498;0.51111;0.49405;0.46458;0.06116;0.19000;0.11484;0.06039;0.42771;0.24556;0.30329;0.42942;0.04615;0.05333;0.08781;0.04561;0.60249;0.89269;0.59703;0.88459;0.61313;0.90845;0.60172;0.89155;0.54681;0.81018;0.80932;0.02762;0.47234;0.83061;0.19068;0.97238;0.52766;0.16939;0.67492;0.02488;0.29443;0.69712;0.15902;0.87562;0.32891;0.14216;0.16606;0.09950;0.37666;0.16071;0.48166;39.20000;2.39640;0.43446;0.95288;109.60000;4.63063;0.84232;0.97374;47.20000;4.95495;0.89554
1;0;0;0;2;0.46501;0.49306;0.49136;0.46464;0.06164;0.18194;0.11662;0.06085;0.42714;0.25833;0.30045;0.42890;0.04622;0.06667;0.09158;0.04560;0.60604;0.89214;0.60045;0.88393;0.61709;0.90842;0.60538;0.89117;0.54996;0.80960;0.81312;0.02186;0.49356;0.83428;0.18688;0.97814;0.50644;0.16572;0.67930;0.01990;0.31768;0.70066;0.15612;0.89055;0.32597;0.13917;0.16457;0.08955;0.35635;0.16017;0.47210;49.25000;2.14783;0.42723;0.93176;138.75000;4.20000;0.82450;0.95664;58.25000;4.39130;0.88443
0;1;2;0;0;0.46380;0.55978;0.49561;0.46333;0.06030;0.16672;0.12455;0.05938;0.42922;0.17049;0.29166;0.43119;0.04668;0.10301;0.08818;0.04610;0.60293;0.89302;0.59820;0.88600;0.61257;0.90729;0.60193;0.89153;0.54708;0.81030;0.82333;0.02235;0.49167;0.84485;0.17667;0.97765;0.50833;0.15515;0.67516;0.02010;0.28710;0.69829;0.14488;0.87940;0.29684;0.12823;0.17996;0.10050;0.41606;0.17348;0.48112;48.75000;2.48305;0.43206;0.91029;136.25000;4.55085;0.79934;1.01420;58.75000;5.38136;0.92892
