mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;mask_rcnn_r50_fpn_carafe_1x_coco;cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;mask_rcnn_r101_fpn_gn-all_3x_coco;mask_rcnn_r101_fpn_gn_ws-all_20_23_24e_coco;detectors_htc_r101_20e_coco;tp%;tp_s%;tp_m%;tp_l%;tp_2%;tp_2_s%;tp_2_m%;tp_2_l%;fp%;fp_s%;fp_m%;fp_l%;fp_2%;fp_2_s%;fp_2_m%;fp_2_l%;tn%;tn_s%;tn_m%;tn_l%;tn_2%;tn_2_s%;tn_2_m%;tn_2_l%;fn%;fn_s%;fn_m%;fn_l%;fn_2%;fn_2_s%;fn_2_m%;fn_2_l%;p_1_full;p_1_correct;p_2_full;p_2_correct;r_1_full;r_1_correct;r_2_full;r_2_correct;f1_1_full;f1_1_correct;f1_2_full;f1_2_correct;cg;cg%;cg_s;cg_s%;cg_m;cg_m%;cg_l;cg_l%;ig;ig%;ig_s;ig_s%;ig_m;ig_m%;ig_l;ig_l%;ng;ng%;ng_s;ng_s%;ng_m;ng_m%;ng_l;ng_l%
1;0;0;0;0;0;0;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan
0;1;0;0;0;0;0;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan
0;0;1;0;0;0;0;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan
0;0;0;0;0;0;1;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan
0;0;0;0;0;0;0;0;0;1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan;0;nan
1;2;0;0;0;0;0;0;0;0;0.48689;0.66270;0.54100;0.48634;0.46448;0.70370;0.50685;0.46412;0.05064;0.12857;0.09729;0.05020;0.05740;0.14815;0.11159;0.05696;0.41531;0.12698;0.27844;0.41664;0.43276;0.11111;0.29987;0.43385;0.04716;0.08175;0.08326;0.04683;0.04536;0.03704;0.08169;0.04508;0.61938;0.90639;0.60843;0.89036;0.62172;0.90981;0.62166;0.90972;0.61813;0.90456;0.61186;0.89538;7933;0.68335;3;0.01613;70;0.28571;7860;0.70317;832;0.07167;0;0.00000;27;0.11020;805;0.07202;2844;0.24498;183;0.98387;148;0.60408;2513;0.22482
1;0;2;0;0;0;0;0;0;0;0.49041;nan;0.54931;0.48992;0.46783;nan;0.51270;0.46749;0.05206;nan;0.10330;0.05163;0.05878;nan;0.11192;0.05839;0.41345;nan;0.26857;0.41467;0.43101;nan;0.29936;0.43199;0.04407;nan;0.07882;0.04378;0.04238;nan;0.07602;0.04213;0.61949;0.90481;0.60863;0.88895;0.62709;0.91592;0.62704;0.91584;0.62094;0.90692;0.61467;0.89777;7825;0.68466;0;0.00000;65;0.27426;7760;0.70507;652;0.05705;0;0.00000;24;0.10127;628;0.05706;2952;0.25829;186;1.00000;148;0.62447;2618;0.23787
1;0;0;0;0;0;2;0;0;0;0.49046;0.60714;0.54906;0.48991;0.46758;nan;0.49940;0.46733;0.05377;0.03571;0.11086;0.05326;0.06067;nan;0.12589;0.06015;0.41173;0.21429;0.26474;0.41309;0.42941;nan;0.30304;0.43041;0.04404;0.14286;0.07534;0.04374;0.04234;nan;0.07167;0.04211;0.61382;0.90200;0.60282;0.88583;0.62319;0.91578;0.62315;0.91571;0.61616;0.90543;0.60982;0.89613;7783;0.68051;1;0.00535;70;0.29787;7712;0.70014;660;0.05771;1;0.00535;16;0.06809;643;0.05837;2994;0.26178;185;0.98930;149;0.63404;2660;0.24149
1;0;0;0;0;0;0;0;0;2;0.49156;0.52500;0.54999;0.49106;0.46868;nan;0.51148;0.46837;0.05217;0.22500;0.10225;0.05172;0.05892;nan;0.11688;0.05850;0.41367;0.25000;0.27331;0.41488;0.43147;nan;0.30322;0.43241;0.04260;0.00000;0.07445;0.04234;0.04092;nan;0.06842;0.04072;0.61479;0.90483;0.60391;0.88881;0.62408;0.91850;0.62404;0.91843;0.61717;0.90833;0.61094;0.89915;7737;0.67946;1;0.00535;65;0.28261;7671;0.69927;609;0.05348;1;0.00535;17;0.07391;591;0.05387;3041;0.26706;185;0.98930;148;0.64348;2708;0.24686
0;1;2;0;0;0;0;0;0;0;0.49011;0.76667;0.53114;0.48965;0.46865;nan;0.50633;0.46832;0.05080;0.15833;0.09461;0.05036;0.05746;nan;0.10521;0.05705;0.41399;0.07500;0.28154;0.41532;0.43043;nan;0.29863;0.43158;0.04510;0.00000;0.09271;0.04467;0.04346;nan;0.08983;0.04305;0.61916;0.90665;0.60861;0.89121;0.62438;0.91429;0.62432;0.91422;0.61945;0.90708;0.61338;0.89819;7779;0.68291;2;0.01075;72;0.30252;7705;0.70256;614;0.05390;0;0.00000;23;0.09664;591;0.05389;2998;0.26319;184;0.98925;143;0.60084;2671;0.24355
0;1;0;0;0;0;2;0;0;0;0.48971;0.66637;0.53379;0.48921;0.46790;0.42500;0.50242;0.46761;0.05241;0.13810;0.09239;0.05200;0.05924;0.17500;0.11044;0.05879;0.41283;0.15982;0.28013;0.41420;0.42949;0.30000;0.29789;0.43062;0.04504;0.03571;0.09369;0.04459;0.04337;0.10000;0.08924;0.04298;0.61277;0.90390;0.60204;0.88807;0.61968;0.91410;0.61964;0.91403;0.61392;0.90560;0.60774;0.89648;7733;0.67792;4;0.02128;71;0.29958;7658;0.69732;630;0.05523;2;0.01064;20;0.08439;608;0.05536;3044;0.26685;182;0.96809;146;0.61603;2716;0.24731
0;1;0;0;0;0;0;0;0;2;0.49073;0.67778;0.52870;0.49029;0.46856;nan;0.50337;0.46825;0.05138;0.17222;0.09562;0.05091;0.05820;nan;0.11254;0.05772;0.41429;0.14167;0.28323;0.41565;0.43131;nan;0.29705;0.43250;0.04361;0.00833;0.09245;0.04316;0.04194;nan;0.08705;0.04153;0.61561;0.90588;0.60476;0.88991;0.62301;0.91676;0.62296;0.91669;0.61705;0.90799;0.61080;0.89881;7705;0.67957;3;0.01613;73;0.31197;7629;0.69875;560;0.04939;0;0.00000;19;0.08120;541;0.04955;3073;0.27104;183;0.98387;142;0.60684;2748;0.25169
0;0;1;0;0;0;2;0;0;0;0.49108;0.67917;0.54769;0.49049;0.46929;nan;0.51270;0.46892;0.05241;0.17083;0.09489;0.05196;0.05928;nan;0.10939;0.05886;0.41229;0.15000;0.27083;0.41372;0.42884;nan;0.29371;0.42998;0.04423;0.00000;0.08660;0.04383;0.04259;nan;0.08420;0.04224;0.62053;0.90419;0.60967;0.88836;0.62855;0.91588;0.62851;0.91582;0.62223;0.90667;0.61599;0.89757;7849;0.68628;2;0.01075;75;0.30992;7772;0.70597;660;0.05771;0;0.00000;21;0.08678;639;0.05804;2928;0.25601;184;0.98925;146;0.60331;2598;0.23599
0;0;1;0;0;0;0;0;0;2;0.49204;0.57407;0.53804;0.49155;0.46997;nan;0.50595;0.46965;0.05090;0.22500;0.09892;0.05035;0.05764;nan;0.11398;0.05714;0.41395;0.19259;0.27494;0.41543;0.43098;nan;0.29792;0.43217;0.04311;0.00833;0.08810;0.04267;0.04141;nan;0.08215;0.04104;0.62225;0.90692;0.61144;0.89117;0.62983;0.91798;0.62978;0.91791;0.62381;0.90920;0.61764;0.90020;7799;0.68611;3;0.01604;77;0.32083;7719;0.70558;589;0.05182;1;0.00535;21;0.08750;567;0.05183;2979;0.26207;183;0.97861;142;0.59167;2654;0.24260
0;0;0;0;0;0;1;0;0;2;0.49207;0.66250;0.54267;0.49148;0.46982;nan;0.50269;0.46954;0.05288;0.16528;0.09821;0.05237;0.05971;nan;0.12151;0.05917;0.41211;0.17222;0.27276;0.41362;0.42920;nan;0.29691;0.43036;0.04294;0.00000;0.08636;0.04253;0.04126;nan;0.07889;0.04093;0.61556;0.90365;0.60471;0.88772;0.62538;0.91807;0.62534;0.91801;0.61821;0.90754;0.61200;0.89842;7737;0.68119;4;0.02128;76;0.32068;7657;0.70036;580;0.05107;2;0.01064;17;0.07173;561;0.05131;3041;0.26774;182;0.96809;144;0.60759;2715;0.24833
