hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;detectors_htc_r101_20e_coco;cascade_mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);tp%;tp_s%;tp_m%;tp_l%;fp%;fp_s%;fp_m%;fp_l%;tn%;tn_s%;tn_m%;tn_l%;fn%;fn_s%;fn_m%;fn_l%;oa_full;oa_correct;p_full;p_correct;r_full;r_correct;f1_full;f1_correct;iou_full;iou_correct;cg%;cg_s%;cg_m%;cg_l%;ng%;ng_s%;ng_m%;ng_l%;tcg%;tcg_s%;tcg_m%;tcg_l%;tng%;tng_s%;tng_m%;tng_l%;tig%;tig_s%;tig_m%;tig_l%;ugr11%;ugr11_s%;ugr11_m%;ugr11_l%;ugr31%;ugr31_s%;ugr31_m%;ugr31_l%;ugr13%;ugr13_s%;ugr13_m%;ugr13_l%
1;0;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;1;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;0;1;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;0;0;1;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;0;0;0;1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
1;2;0;0;0;0.46832;nan;0.50474;0.46794;0.05878;nan;0.12147;0.05813;0.43039;nan;0.29290;0.43183;0.04251;nan;0.08090;0.04211;0.63203;0.89871;0.62524;0.88907;0.64398;0.91571;0.63141;0.89783;0.57675;0.82011;0.75494;0.00000;0.38889;0.77587;0.24506;1.00000;0.61111;0.22413;0.70326;0.00000;0.33202;0.72345;0.22828;0.98387;0.52174;0.20898;0.06846;0.01613;0.14625;0.06757;0.42195;inf;2.01190;0.38227;1.07117;inf;5.15476;0.96001;0.61664;inf;2.89286;0.56905
1;0;2;0;0;0.46688;0.45000;0.50211;0.46651;0.05863;0.20000;0.10726;0.05809;0.43013;0.27500;0.29989;0.43154;0.04436;0.07500;0.09073;0.04386;0.62755;0.89701;0.62197;0.88904;0.63821;0.91224;0.62680;0.89593;0.57160;0.81703;0.75355;0.00546;0.38914;0.77451;0.24645;0.99454;0.61086;0.22549;0.69960;0.00546;0.32950;0.71963;0.22881;0.99454;0.51724;0.20951;0.07159;0.00000;0.15326;0.07085;0.42938;182.00000;2.03488;0.38959;1.08349;546.00000;5.17442;0.97187;0.63404;182.00000;2.96512;0.58651
1;0;0;2;0;0.46776;0.46296;0.50378;0.46739;0.06046;0.17778;0.11788;0.05982;0.42815;0.28426;0.29719;0.42958;0.04362;0.07500;0.08115;0.04322;0.62946;0.89592;0.62269;0.88628;0.64191;0.91364;0.62900;0.89526;0.57325;0.81590;0.76042;0.01639;0.38462;0.78155;0.23958;0.98361;0.61538;0.21845;0.70259;0.01639;0.32946;0.72236;0.22136;0.98361;0.52713;0.20191;0.07605;0.00000;0.14341;0.07574;0.42331;60.00000;2.03529;0.38436;1.05345;180.00000;5.23529;0.94338;0.63978;60.00000;2.90588;0.59405
1;0;0;0;2;0.46804;0.50000;0.50084;0.46772;0.06069;0.10000;0.11594;0.06015;0.42791;0.28750;0.29852;0.42918;0.04336;0.11250;0.08471;0.04295;0.62837;0.89595;0.62139;0.88600;0.64114;0.91415;0.62795;0.89535;0.57234;0.81606;0.75373;0.01093;0.36150;0.77488;0.24627;0.98907;0.63850;0.22512;0.70135;0.01093;0.29961;0.72195;0.22915;0.98907;0.52918;0.20975;0.06950;0.00000;0.17121;0.06830;0.42583;90.50000;2.33766;0.38513;1.07928;271.50000;5.87013;0.96619;0.62403;90.50000;3.48052;0.57434
0;1;2;0;0;0.46710;nan;0.50216;0.46674;0.05949;nan;0.11546;0.05892;0.43052;nan;0.29571;0.43189;0.04289;nan;0.08667;0.04245;0.62673;0.89762;0.61973;0.88760;0.63869;0.91475;0.62591;0.89645;0.57110;0.81794;0.74557;0.00000;0.37500;0.76643;0.25443;1.00000;0.62500;0.23357;0.69821;0.00000;0.32794;0.71819;0.23827;0.98387;0.54656;0.21887;0.06352;0.01613;0.12551;0.06293;0.43223;inf;2.04938;0.39238;1.11475;inf;5.38272;1.00189;0.61419;inf;2.81481;0.56764
