mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;mask_rcnn_r50_fpn_carafe_1x_coco;cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;mask_rcnn_r101_fpn_gn-all_3x_coco;mask_rcnn_r101_fpn_gn_ws-all_20_23_24e_coco;detectors_htc_r101_20e_coco;tp%;tp_s%;tp_m%;tp_l%;tp_2%;tp_2_s%;tp_2_m%;tp_2_l%;fp%;fp_s%;fp_m%;fp_l%;fp_2%;fp_2_s%;fp_2_m%;fp_2_l%;tn%;tn_s%;tn_m%;tn_l%;tn_2%;tn_2_s%;tn_2_m%;tn_2_l%;fn%;fn_s%;fn_m%;fn_l%;fn_2%;fn_2_s%;fn_2_m%;fn_2_l%;p_1_full;p_1_correct;p_2_full;p_2_correct;r_1_full;r_1_correct;r_2_full;r_2_correct;f1_1_full;f1_1_correct;f1_2_full;f1_2_correct;cg;cg%;cg_s;cg_s%;cg_m;cg_m%;cg_l;cg_l%;ig;ig%;ig_s;ig_s%;ig_m;ig_m%;ig_l;ig_l%;ng;ng%;ng_s;ng_s%;ng_m;ng_m%;ng_l;ng_l%
0;1;0;0;0;0;2;0;0;0;0.48670;0.65298;0.53201;0.48596;0.46382;0.54676;0.49404;0.46345;0.05304;0.14613;0.09448;0.05242;0.06040;0.17245;0.11501;0.05974;0.41163;0.15595;0.27716;0.41359;0.42905;0.20278;0.29910;0.43061;0.04864;0.04494;0.09636;0.04803;0.04672;0.07801;0.09184;0.04621;0.62688;0.90256;0.61504;0.88551;0.62997;0.90700;0.62992;0.90693;0.62579;0.90098;0.61900;0.89122;8541;0.69456;8;0.04167;108;0.34615;8425;0.71441;1520;0.12361;6;0.03125;70;0.22436;1444;0.12245;2236;0.18183;178;0.92708;134;0.42949;1924;0.16315
0;1;0;0;0;0;0;0;0;2;0.48778;0.62017;0.53322;0.48700;0.46452;0.54282;0.49864;0.46405;0.05204;0.16039;0.10021;0.05125;0.05946;0.17338;0.11977;0.05865;0.41247;0.15274;0.27318;0.41468;0.43025;0.16639;0.29340;0.43208;0.04771;0.06670;0.09338;0.04707;0.04577;0.11741;0.08819;0.04521;0.63021;0.90458;0.61821;0.88736;0.63329;0.90899;0.63323;0.90891;0.62912;0.90301;0.62225;0.89315;8609;0.69669;11;0.05641;114;0.34862;8484;0.71686;1580;0.12786;9;0.04615;84;0.25688;1487;0.12564;2168;0.17545;175;0.89744;129;0.39450;1864;0.15750
0;0;1;0;0;0;2;0;0;0;0.48840;0.59943;0.53574;0.48770;0.46592;0.48681;0.49715;0.46555;0.05301;0.13526;0.09234;0.05243;0.06023;0.12986;0.11057;0.05962;0.41153;0.22347;0.27927;0.41340;0.42864;0.32083;0.30369;0.43013;0.04706;0.04184;0.09265;0.04647;0.04520;0.06250;0.08860;0.04470;0.62744;0.90284;0.61586;0.88617;0.63262;0.91028;0.63257;0.91021;0.62747;0.90288;0.62085;0.89334;8439;0.69497;7;0.03608;108;0.35526;8324;0.71481;1366;0.11249;8;0.04124;66;0.21711;1292;0.11095;2338;0.19254;179;0.92268;130;0.42763;2029;0.17424
0;0;1;0;0;0;0;0;0;2;0.48865;0.60422;0.53901;0.48786;0.46581;0.56181;0.50141;0.46534;0.05167;0.15704;0.10278;0.05087;0.05888;0.11458;0.12315;0.05808;0.41296;0.17768;0.26863;0.41515;0.43049;0.19028;0.29226;0.43227;0.04672;0.06106;0.08958;0.04612;0.04482;0.13333;0.08319;0.04432;0.63608;0.90543;0.62429;0.88864;0.64001;0.91103;0.63996;0.91096;0.63547;0.90456;0.62873;0.89497;8544;0.70252;8;0.04040;115;0.36050;8421;0.72314;1385;0.11388;12;0.06061;79;0.24765;1294;0.11112;2233;0.18360;178;0.89899;125;0.39185;1930;0.16574
0;0;0;0;0;0;1;0;0;2;0.48886;0.61796;0.53443;0.48812;0.46565;0.52014;0.49370;0.46530;0.05353;0.15804;0.10220;0.05278;0.06085;0.13958;0.12364;0.06009;0.41105;0.17044;0.27291;0.41312;0.42885;0.22361;0.29837;0.43043;0.04657;0.05357;0.09046;0.04597;0.04465;0.11667;0.08429;0.04417;0.62811;0.90234;0.61622;0.88526;0.63423;0.91113;0.63418;0.91106;0.62858;0.90301;0.62180;0.89327;8509;0.69609;8;0.04020;112;0.34783;8389;0.71682;1447;0.11837;13;0.06533;81;0.25155;1353;0.11561;2268;0.18554;178;0.89447;129;0.40062;1961;0.16756
1;2;3;0;0;0;0;0;0;0;0.48072;0.67024;0.53168;0.48003;0.46182;0.70370;0.49928;0.46142;0.04412;0.14623;0.08922;0.04355;0.05019;0.14815;0.10580;0.04963;0.42138;0.13849;0.28481;0.42308;0.43596;0.11111;0.30432;0.43732;0.05377;0.04504;0.09428;0.05334;0.05203;0.03704;0.09060;0.05164;0.64438;0.91685;0.63449;0.90278;0.63059;0.89722;0.63053;0.89714;0.63484;0.90327;0.62924;0.89531;8268;0.70282;6;0.03226;89;0.32721;8173;0.72289;987;0.08390;0;0.00000;43;0.15809;944;0.08350;2509;0.21328;180;0.96774;140;0.51471;2189;0.19361
1;2;0;0;0;0;3;0;0;0;0.48010;0.67440;0.53131;0.47939;0.46134;0.55185;0.49549;0.46099;0.04433;0.15040;0.09272;0.04372;0.05032;0.12407;0.11498;0.04967;0.42139;0.13433;0.28167;0.42313;0.43591;0.24306;0.29985;0.43727;0.05419;0.04087;0.09431;0.05376;0.05244;0.08102;0.08968;0.05207;0.64131;0.91635;0.63157;0.90244;0.62721;0.89622;0.62716;0.89613;0.63162;0.90252;0.62614;0.89468;8240;0.69985;6;0.03175;89;0.33209;8145;0.71971;997;0.08468;3;0.01587;36;0.13433;958;0.08465;2537;0.21547;180;0.95238;143;0.53358;2214;0.19563
1;2;0;0;0;0;0;0;0;3;0.48096;0.67024;0.53542;0.48020;0.46210;0.70370;0.49780;0.46169;0.04367;0.15040;0.09704;0.04298;0.04956;0.14815;0.11803;0.04882;0.42179;0.13433;0.27572;0.42366;0.43648;0.11111;0.29685;0.43801;0.05358;0.04504;0.09181;0.05315;0.05186;0.03704;0.08732;0.05148;0.64442;0.91766;0.63474;0.90388;0.63023;0.89746;0.63017;0.89737;0.63471;0.90383;0.62926;0.89607;8264;0.70224;6;0.03209;93;0.34317;8165;0.72193;991;0.08421;1;0.00535;40;0.14760;950;0.08400;2513;0.21355;180;0.96257;138;0.50923;2195;0.19408
1;0;2;0;0;0;3;0;0;0;0.48198;0.65516;0.53729;0.48131;0.46343;nan;0.50396;0.46304;0.04450;0.12579;0.09396;0.04393;0.05040;nan;0.10670;0.04986;0.42077;0.17143;0.27891;0.42242;0.43512;nan;0.30146;0.43640;0.05275;0.04762;0.08984;0.05235;0.05105;nan;0.08788;0.05070;0.64682;0.91631;0.63710;0.90254;0.63467;0.89910;0.63462;0.89902;0.63817;0.90406;0.63268;0.89628;8235;0.70590;3;0.01604;89;0.34100;8143;0.72589;889;0.07620;1;0.00535;32;0.12261;856;0.07631;2542;0.21790;183;0.97861;140;0.53640;2219;0.19781
1;0;2;0;0;0;0;0;0;3;0.48258;0.57407;0.53840;0.48194;0.46401;nan;0.50304;0.46362;0.04357;0.22500;0.09283;0.04297;0.04941;nan;0.10884;0.04881;0.42166;0.19259;0.27951;0.42329;0.43611;nan;0.30343;0.43745;0.05219;0.00833;0.08926;0.05181;0.05047;nan;0.08469;0.05012;0.65142;0.91794;0.64172;0.90427;0.63887;0.90026;0.63882;0.90018;0.64259;0.90550;0.63716;0.89784;8271;0.70965;3;0.01596;89;0.33585;8179;0.73014;878;0.07533;2;0.01064;38;0.14340;838;0.07481;2506;0.21502;183;0.97340;138;0.52075;2185;0.19505
