hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;detectors_htc_r101_20e_coco;cascade_mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);tp%;tp_s%;tp_m%;tp_l%;fp%;fp_s%;fp_m%;fp_l%;tn%;tn_s%;tn_m%;tn_l%;fn%;fn_s%;fn_m%;fn_l%;oa_full;oa_correct;p_full;p_correct;r_full;r_correct;f1_full;f1_correct;iou_full;iou_correct;cg%;cg_s%;cg_m%;cg_l%;ng%;ng_s%;ng_m%;ng_l%;tcg%;tcg_s%;tcg_m%;tcg_l%;tng%;tng_s%;tng_m%;tng_l%;tig%;tig_s%;tig_m%;tig_l%;ugr11%;ugr11_s%;ugr11_m%;ugr11_l%;ugr31%;ugr31_s%;ugr31_m%;ugr31_l%;ugr13%;ugr13_s%;ugr13_m%;ugr13_l%
1;0;0;0;0;0.47454;nan;0.46047;0.47455;0.04084;nan;0.05235;0.04083;0.44312;nan;0.39797;0.44314;0.04150;nan;0.08921;0.04148;0.44538;0.91767;0.44639;0.91975;0.44583;0.91859;0.44478;0.91643;0.41224;0.84938;0.49069;0.00000;0.01183;0.50718;0.50931;1.00000;0.98817;0.49282;0.48534;0.00000;0.01170;0.50156;0.50376;1.00000;0.97661;0.48735;0.01090;0.00000;0.01170;0.01108;1.06041;inf;84.50000;0.99377;3.13630;inf;251.50000;2.93711;1.10534;inf;86.50000;1.03796
0;1;0;0;0;0.47176;nan;0.54528;0.47167;0.04220;nan;0.05591;0.04218;0.44307;nan;0.31477;0.44323;0.04297;nan;0.08405;0.04291;0.46686;0.91483;0.46810;0.91725;0.46710;0.91529;0.46601;0.91317;0.43086;0.84428;0.51751;0.00000;0.04118;0.53449;0.48249;1.00000;0.95882;0.46551;0.51032;0.00000;0.04023;0.52702;0.47579;1.00000;0.93678;0.45900;0.01389;0.00000;0.02299;0.01398;0.95954;inf;23.85714;0.89747;2.82420;inf;70.42857;2.63936;1.01396;inf;25.00000;0.95053
0;0;1;0;0;0.46976;nan;0.60000;0.46971;0.04143;nan;0.07500;0.04142;0.44421;nan;0.21667;0.44430;0.04459;nan;0.10833;0.04457;0.45532;0.91397;0.45738;0.91812;0.45423;0.91179;0.45424;0.91181;0.41943;0.84193;0.50570;0.00000;0.01198;0.52261;0.49430;1.00000;0.98802;0.47739;0.49817;0.00000;0.01183;0.51467;0.48694;1.00000;0.97633;0.47013;0.01488;0.00000;0.01183;0.01519;1.00733;inf;83.50000;0.94298;2.96224;inf;248.50000;2.76989;1.06708;inf;85.50000;1.00202
0;0;0;1;0;0.47175;nan;0.60684;0.47170;0.04292;nan;0.01389;0.04293;0.44132;nan;0.28900;0.44138;0.04401;nan;0.09028;0.04399;0.44142;0.91307;0.44277;0.91585;0.44141;0.91305;0.44064;0.91145;0.40666;0.84117;0.48976;0.00000;0.01190;0.50618;0.51024;1.00000;0.98810;0.49382;0.48345;0.00000;0.01176;0.49953;0.50366;1.00000;0.97647;0.48733;0.01290;0.00000;0.01176;0.01314;1.06848;inf;84.00000;1.00189;3.15210;inf;250.00000;2.95307;1.12183;inf;86.00000;1.05450
0;0;0;0;1;0.47138;nan;0.56196;0.47129;0.04311;nan;0.03682;0.04312;0.44101;nan;0.31851;0.44112;0.04450;nan;0.08271;0.04447;0.44648;0.91239;0.44803;0.91554;0.44628;0.91197;0.44562;0.91063;0.41101;0.83989;0.49657;0.00000;0.02959;0.51299;0.50343;1.00000;0.97041;0.48701;0.48936;0.00000;0.02941;0.50533;0.49612;1.00000;0.96471;0.47975;0.01452;0.00000;0.00588;0.01492;1.04349;inf;33.00000;0.97889;3.07112;inf;98.60000;2.87762;1.10286;inf;33.40000;1.03793
