hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;detectors_htc_r101_20e_coco;cascade_mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);tp%;tp_s%;tp_m%;tp_l%;fp%;fp_s%;fp_m%;fp_l%;tn%;tn_s%;tn_m%;tn_l%;fn%;fn_s%;fn_m%;fn_l%;oa_full;oa_correct;p_full;p_correct;r_full;r_correct;f1_full;f1_correct;iou_full;iou_correct;cg%;cg_s%;cg_m%;cg_l%;ng%;ng_s%;ng_m%;ng_l%;tcg%;tcg_s%;tcg_m%;tcg_l%;tng%;tng_s%;tng_m%;tng_l%;tig%;tig_s%;tig_m%;tig_l%;ugr11%;ugr11_s%;ugr11_m%;ugr11_l%;ugr31%;ugr31_s%;ugr31_m%;ugr31_l%;ugr13%;ugr13_s%;ugr13_m%;ugr13_l%
1;0;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.58270;0.02353;1.00000;1.00000;0.41730;0.97647;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
0;1;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.58308;0.02357;1.00000;1.00000;0.41692;0.97643;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
0;0;1;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.58182;0.02345;1.00000;1.00000;0.41818;0.97655;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
0;0;0;1;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.58273;0.02354;1.00000;1.00000;0.41727;0.97646;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
0;0;0;0;1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.58425;0.02368;1.00000;1.00000;0.41575;0.97632;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
1;2;0;0;0;0.45841;0.38889;0.48712;0.45808;0.03937;0.25000;0.08436;0.03881;0.44071;0.36111;0.31633;0.44221;0.06151;0.00000;0.11218;0.06091;0.55869;0.89912;0.57246;0.92127;0.54672;0.87985;0.55653;0.89563;0.50745;0.81665;0.75244;0.00556;0.42105;0.77269;0.24756;0.99444;0.57895;0.22731;0.62138;0.00060;0.35165;0.72148;0.20444;0.10706;0.48352;0.21225;0.17418;0.89234;0.16484;0.06628;0.60932;1671.00000;1.84375;0.38605;1.26736;2029.00000;4.59375;0.97441;1.16993;4655.00000;2.78125;0.56977
1;0;2;0;0;0.45692;0.47685;0.48566;0.45660;0.04025;0.22778;0.08214;0.03972;0.44036;0.17685;0.31813;0.44180;0.06248;0.11852;0.11406;0.06189;0.55229;0.89728;0.56605;0.91964;0.54019;0.87762;0.55003;0.89362;0.50064;0.81338;0.75179;0.01639;0.39462;0.77244;0.24821;0.98361;0.60538;0.22756;0.61551;0.00170;0.33588;0.71938;0.20322;0.10198;0.51527;0.21193;0.18127;0.89632;0.14885;0.06870;0.62466;587.33333;1.97727;0.39009;1.28499;707.33333;5.04545;0.97928;1.21365;1642.00000;2.86364;0.58108
1;0;0;2;0;0.45653;0.47361;0.48268;0.45623;0.04105;0.15139;0.09052;0.04045;0.43955;0.29236;0.31627;0.44099;0.06287;0.08264;0.11053;0.06233;0.56589;0.89608;0.57983;0.91815;0.55364;0.87668;0.56355;0.89237;0.51241;0.81139;0.75967;0.02198;0.39648;0.78057;0.24033;0.97802;0.60352;0.21943;0.63152;0.00263;0.32143;0.72492;0.19978;0.11711;0.48929;0.20378;0.16870;0.88026;0.18929;0.07130;0.58349;379.00000;2.11111;0.37946;1.21620;468.00000;5.15556;0.94168;1.11775;1048.00000;3.28889;0.57618
1;0;0;0;2;0.45593;0.51019;0.48780;0.45558;0.04032;0.12778;0.08684;0.03982;0.43996;0.26019;0.31366;0.44132;0.06379;0.10185;0.11170;0.06328;0.55759;0.89589;0.57226;0.91946;0.54460;0.87502;0.55521;0.89206;0.50473;0.81096;0.75216;0.01657;0.37443;0.77296;0.24784;0.98343;0.62557;0.22704;0.62239;0.00182;0.30370;0.72248;0.20508;0.10775;0.50741;0.21221;0.17253;0.89044;0.18889;0.06530;0.60671;549.66667;2.29268;0.38412;1.26573;668.33333;5.63415;0.97157;1.16112;1530.33333;3.53659;0.56489
0;1;2;0;0;0.45596;0.49391;0.49003;0.45560;0.03839;0.29231;0.08165;0.03789;0.44202;0.10064;0.31800;0.44338;0.06363;0.11314;0.11032;0.06314;0.53994;0.89798;0.55488;0.92284;0.52643;0.87552;0.53758;0.89406;0.48950;0.81409;0.74232;0.01093;0.37156;0.76301;0.25768;0.98907;0.62844;0.23699;0.60128;0.00101;0.31395;0.71582;0.20872;0.09109;0.53101;0.22233;0.19000;0.90790;0.15504;0.06184;0.66312;992.50000;2.18519;0.39699;1.35737;1173.50000;5.56790;1.01819;1.29513;2796.50000;3.17284;0.56979
0;1;0;2;0;0.45596;0.47222;0.48202;0.45567;0.03921;0.22222;0.09441;0.03856;0.44092;0.29167;0.31307;0.44237;0.06391;0.01389;0.11049;0.06340;0.54877;0.89688;0.56379;0.92142;0.53528;0.87483;0.54636;0.89293;0.49704;0.81234;0.74733;0.01105;0.39286;0.76784;0.25267;0.98895;0.60714;0.23216;0.61187;0.00111;0.33083;0.71793;0.20687;0.09922;0.51128;0.21707;0.18127;0.89967;0.15789;0.06500;0.63434;901.00000;2.02273;0.39289;1.31053;1080.00000;5.11364;0.99761;1.22684;2524.00000;2.97727;0.57396
0;1;0;0;2;0.45563;nan;0.48210;0.45536;0.03875;nan;0.08859;0.03824;0.44097;nan;0.31886;0.44221;0.06465;nan;0.11045;0.06419;0.55154;0.89660;0.56724;0.92212;0.53733;0.87350;0.54908;0.89259;0.49940;0.81183;0.74603;0.00000;0.37500;0.76676;0.25397;1.00000;0.62500;0.23324;0.61515;0.00000;0.31395;0.71748;0.20941;0.10529;0.52326;0.21825;0.17544;0.89471;0.16279;0.06427;0.62562;inf;2.18519;0.39377;1.30647;inf;5.51852;1.00214;1.19602;inf;3.22222;0.57294
0;0;1;2;0;0.45468;0.45641;0.48270;0.45439;0.03993;0.22981;0.08142;0.03944;0.44051;0.22564;0.32013;0.44183;0.06488;0.08814;0.11576;0.06434;0.54489;0.89519;0.55986;0.91979;0.53135;0.87294;0.54239;0.89109;0.49261;0.80930;0.74650;0.01093;0.37838;0.76735;0.25350;0.98907;0.62162;0.23265;0.60869;0.00110;0.31343;0.71522;0.20670;0.09940;0.51493;0.21684;0.18461;0.89951;0.17164;0.06794;0.64288;909.50000;2.19048;0.39817;1.32206;1090.50000;5.47619;1.00452;1.24947;2547.50000;3.28571;0.58814
0;0;1;0;2;0.45428;0.47927;0.48723;0.45397;0.03947;0.23675;0.08374;0.03899;0.44079;0.18355;0.31470;0.44205;0.06545;0.10043;0.11433;0.06499;0.53917;0.89508;0.55458;0.92067;0.52516;0.87182;0.53665;0.89090;0.48736;0.80907;0.74093;0.01639;0.34597;0.76173;0.25907;0.98361;0.65403;0.23827;0.60237;0.00157;0.28968;0.71259;0.21062;0.09449;0.54762;0.22290;0.18701;0.90394;0.16270;0.06451;0.66011;634.00000;2.45205;0.40334;1.35942;754.00000;6.23288;1.02895;1.28103;1782.00000;3.57534;0.58440
0;0;0;1;2;0.45543;0.47500;0.48238;0.45516;0.04260;0.03750;0.09324;0.04210;0.43814;0.35000;0.31585;0.43938;0.06383;0.13750;0.10854;0.06337;0.55989;0.89357;0.57351;0.91529;0.54807;0.87470;0.55753;0.88980;0.50587;0.80734;0.75281;0.01093;0.37209;0.77377;0.24719;0.98907;0.62791;0.22623;0.62658;0.00132;0.30075;0.71898;0.20575;0.11971;0.50752;0.21021;0.16767;0.87897;0.19173;0.07081;0.59596;755.00000;2.32500;0.39086;1.25268;936.00000;5.70000;0.97559;1.13115;2084.00000;3.60000;0.58785
1;2;3;0;0;0.45215;0.45486;0.48556;0.45174;0.03603;0.23333;0.08153;0.03537;0.44261;0.22292;0.31990;0.44423;0.06921;0.08889;0.11300;0.06866;0.63231;0.89476;0.65499;0.92686;0.61121;0.86490;0.62900;0.89008;0.57094;0.80792;0.78556;0.02198;0.44017;0.80678;0.21444;0.97802;0.55983;0.19322;0.70668;0.02105;0.33882;0.72776;0.19290;0.93684;0.43092;0.17430;0.10042;0.04211;0.23026;0.09795;0.41507;46.50000;1.95146;0.37409;0.96102;135.50000;4.49515;0.85309;0.69927;50.50000;3.31068;0.64326
1;2;0;3;0;0.45226;0.49000;0.47762;0.45191;0.03623;0.15444;0.08412;0.03554;0.44175;0.28389;0.31923;0.44342;0.06976;0.07167;0.11903;0.06913;0.63008;0.89401;0.65305;0.92661;0.60881;0.86383;0.62680;0.88936;0.56861;0.80679;0.78417;0.02762;0.45339;0.80492;0.21583;0.97238;0.54661;0.19508;0.70478;0.02632;0.33861;0.72608;0.19398;0.92632;0.40823;0.17597;0.10124;0.04737;0.25316;0.09795;0.41889;37.00000;1.95327;0.37726;0.96935;107.40000;4.36449;0.86197;0.70619;40.60000;3.44860;0.64708
1;2;0;0;3;0.45129;0.47986;0.47860;0.45092;0.03619;0.15833;0.08532;0.03548;0.44223;0.28542;0.31800;0.44395;0.07029;0.07639;0.11808;0.06965;0.63284;0.89352;0.65616;0.92645;0.61101;0.86270;0.62937;0.88863;0.57063;0.80569;0.78389;0.02210;0.46809;0.80436;0.21611;0.97790;0.53191;0.19564;0.70825;0.02094;0.35948;0.72907;0.19525;0.92670;0.40850;0.17732;0.09650;0.05236;0.23203;0.09361;0.41193;46.75000;1.78182;0.37161;0.96330;135.25000;4.05455;0.85805;0.68442;51.75000;3.07273;0.62839
1;0;2;3;0;0.45129;0.46889;0.47849;0.45095;0.03701;0.16111;0.08082;0.03640;0.44165;0.26389;0.32158;0.44323;0.07005;0.10611;0.11911;0.06943;0.62991;0.89294;0.65253;0.92500;0.60881;0.86303;0.62648;0.88808;0.56766;0.80470;0.78398;0.02747;0.43590;0.80513;0.21602;0.97253;0.56410;0.19487;0.70544;0.02646;0.32484;0.72704;0.19437;0.93651;0.42038;0.17596;0.10019;0.03704;0.25478;0.09700;0.41756;36.80000;2.07843;0.37545;0.96864;107.60000;4.66667;0.85951;0.70162;39.60000;3.64706;0.64229
1;0;2;0;3;0.45076;0.50139;0.48125;0.45037;0.03667;0.15208;0.08147;0.03608;0.44188;0.22639;0.31958;0.44343;0.07069;0.12014;0.11771;0.07011;0.62907;0.89264;0.65226;0.92555;0.60743;0.86193;0.62561;0.88772;0.56674;0.80419;0.78222;0.02198;0.43043;0.80338;0.21778;0.97802;0.56957;0.19662;0.70473;0.02128;0.32353;0.72611;0.19620;0.94681;0.42810;0.17771;0.09906;0.03191;0.24837;0.09618;0.41898;46.00000;2.09091;0.37721;0.97580;135.00000;4.73737;0.86670;0.70012;49.00000;3.62626;0.64213
1;0;0;2;3;0.45153;0.47361;0.47614;0.45122;0.03756;0.15139;0.08834;0.03690;0.44101;0.29236;0.32064;0.44254;0.06989;0.08264;0.11487;0.06935;0.62450;0.89254;0.64650;0.92398;0.60404;0.86329;0.62119;0.88780;0.56274;0.80427;0.78046;0.02210;0.43478;0.80137;0.21954;0.97790;0.56522;0.19863;0.69969;0.02128;0.32154;0.72097;0.19682;0.94149;0.41801;0.17870;0.10349;0.03723;0.26045;0.10033;0.42920;46.00000;2.11000;0.38702;0.99180;134.50000;4.71000;0.88275;0.72500;49.50000;3.73000;0.66534
0;1;2;3;0;0.45035;0.46645;0.48716;0.44990;0.03569;0.21568;0.08258;0.03502;0.44239;0.24205;0.31780;0.44401;0.07156;0.07581;0.11246;0.07107;0.62973;0.89275;0.65428;0.92755;0.60693;0.86042;0.62625;0.88781;0.56737;0.80434;0.78269;0.02747;0.43290;0.80374;0.21731;0.97253;0.56710;0.19626;0.70539;0.02604;0.32680;0.72688;0.19585;0.92188;0.42810;0.17749;0.09876;0.05208;0.24510;0.09564;0.41766;37.40000;2.06000;0.37575;0.97297;108.20000;4.68000;0.86411;0.69769;41.40000;3.56000;0.63890
0;1;2;0;3;0.44992;0.47927;0.48729;0.44947;0.03551;0.22821;0.08223;0.03489;0.44247;0.19209;0.31509;0.44408;0.07209;0.10043;0.11540;0.07156;0.62979;0.89240;0.65471;0.92770;0.60659;0.85952;0.62626;0.88739;0.56721;0.80373;0.78064;0.01648;0.43421;0.80168;0.21936;0.98352;0.56579;0.19832;0.70573;0.01596;0.33110;0.72687;0.19831;0.95213;0.43144;0.17981;0.09597;0.03191;0.23746;0.09332;0.41697;61.66667;2.02020;0.37577;0.97896;181.00000;4.62626;0.87053;0.68893;65.66667;3.45455;0.63254
