mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;bbox_ap;mask_ap;tp;tp%;tp_s;tp_s%;tp_m;tp_m%;tp_l;tp_l%;tp_2;tp_2%;tp_2_s;tp_2_s%;tp_2_m;tp_2_m%;tp_2_l;tp_2_l%;fp;fp%;fp_s;fp_s%;fp_m;fp_m%;fp_l;fp_l%;fp_2;fp_2%;fp_2_s;fp_2_s%;fp_2_m;fp_2_m%;fp_2_l;fp_2_l%;tn;tn%;tn_s;tn_s%;tn_m;tn_m%;tn_l;tn_l%;tn_2;tn_2%;tn_2_s;tn_2_s%;tn_2_m;tn_2_m%;tn_2_l;tn_2_l%;fn;fn%;fn_s;fn_s%;fn_m;fn_m%;fn_l;fn_l%;fn_2;fn_2%;fn_2_s;fn_2_s%;fn_2_m;fn_2_m%;fn_2_l;fn_2_l%;cg;cg%;cg_s;cg_s%;cg_m;cg_m%;cg_l;cg_l%;c_cg;c_cg%;c_cg_s;c_cg_s%;c_cg_m;c_cg_m%;c_cg_l;c_cg_l%;ig;ig%;ig_s;ig_s%;ig_m;ig_m%;ig_l;ig_l%;c_ig;c_ig%;c_ig_s;c_ig_s%;c_ig_m;c_ig_m%;c_ig_l;c_ig_l%;ng;ng%;ng_s;ng_s%;ng_m;ng_m%;ng_l;ng_l%;c_ng;c_ng%;c_ng_s;c_ng_s%;c_ng_m;c_ng_m%;c_ng_l;c_ng_l%
1;0;2;0;3;0.605;0.053;115267321;0.50950;1512;0.62043;13659;0.58552;115252150;0.50949;115274652;0.48317;59;0.74684;6168;0.59302;115261094;0.50950;97590409;0.43137;781;0.32048;7107;0.30466;97582521;0.43138;109461028;0.45880;12;0.15190;3183;0.30603;97587214;0.43137;10952052;0.04841;112;0.04596;1761;0.07549;10950179;0.04841;11420612;0.04787;7;0.08861;752;0.07230;10951293;0.04841;2425194;0.01072;32;0.01313;801;0.03434;2424361;0.01072;2425386;0.01017;1;0.01266;298;0.02865;2424895;0.01072;10524;0.11102;80;0.21220;326;0.05884;10118;0.11385;5572;0.15517;52;0.30588;240;0.13506;5280;0.15546;83786;0.88391;191;0.50663;5157;0.93087;78438;0.88259;29943;0.83383;38;0.22353;1495;0.84131;28410;0.83650;480;0.00506;106;0.28117;57;0.01029;317;0.00357;395;0.01100;80;0.47059;42;0.02364;273;0.00804
1;0;0;2;3;0.599;0.053;115112766;0.50916;1382;0.61614;13329;0.58407;115098055;0.50915;115120322;0.48220;46;0.71875;6053;0.58921;115106667;0.50915;97207019;0.42996;697;0.31074;6989;0.30625;97199333;0.42997;109372770;0.45813;10;0.15625;3043;0.29621;97203966;0.42996;11279090;0.04989;126;0.05617;1693;0.07419;11277271;0.04989;11759202;0.04926;7;0.10938;819;0.07972;11278264;0.04989;2485908;0.01100;38;0.01694;810;0.03549;2485060;0.01099;2486145;0.01041;1;0.01562;358;0.03485;2485549;0.01099;10452;0.14148;71;0.22050;320;0.08178;10061;0.14447;5536;0.17477;46;0.28395;237;0.15019;5253;0.17547;62872;0.85105;136;0.42236;3530;0.90212;59206;0.85016;25709;0.81162;30;0.18519;1296;0.82129;24383;0.81450;552;0.00747;115;0.35714;63;0.01610;374;0.00537;431;0.01361;86;0.53086;45;0.02852;300;0.01002
0;1;2;3;0;0.610;0.055;115337856;0.51128;1538;0.62699;13547;0.58252;115322771;0.51128;115345403;0.48461;68;0.76404;6636;0.58457;115331152;0.51128;98029135;0.43456;745;0.30371;6981;0.30018;98021409;0.43457;110002798;0.46217;14;0.15730;3370;0.29686;98025751;0.43456;10107723;0.04481;121;0.04933;1875;0.08062;10105727;0.04480;10558194;0.04436;7;0.07865;954;0.08404;10106762;0.04480;2109566;0.00935;49;0.01998;853;0.03668;2108664;0.00935;2109736;0.00886;0;0.00000;392;0.03453;2109174;0.00935;10497;0.13499;80;0.24390;325;0.06635;10092;0.13913;5556;0.17408;50;0.32680;240;0.14159;5266;0.17513;66757;0.85849;142;0.43293;4515;0.92180;62100;0.85614;25950;0.81305;21;0.13725;1413;0.83363;24516;0.81532;507;0.00652;106;0.32317;58;0.01184;343;0.00473;411;0.01288;82;0.53595;42;0.02478;287;0.00954
0;1;2;0;3;0.608;0.054;115442911;0.50981;1501;0.61592;13570;0.58248;115427840;0.50980;115450194;0.48337;63;0.70787;6477;0.59054;115436371;0.50981;97997655;0.43277;771;0.31637;7010;0.30090;97989874;0.43279;109932555;0.46027;13;0.14607;3223;0.29385;97994419;0.43278;10710287;0.04730;122;0.05006;1855;0.07962;10708310;0.04729;11171787;0.04677;9;0.10112;899;0.08197;10709379;0.04730;2291002;0.01012;43;0.01764;862;0.03700;2290097;0.01011;2291140;0.00959;4;0.04494;369;0.03364;2290629;0.01012;10521;0.11151;80;0.20779;326;0.05767;10115;0.11453;5569;0.15601;52;0.30588;240;0.13001;5277;0.15668;83350;0.88338;199;0.51688;5270;0.93225;77881;0.88184;29730;0.83284;38;0.22353;1564;0.84724;28128;0.83513;483;0.00512;106;0.27532;57;0.01008;320;0.00362;398;0.01115;80;0.47059;42;0.02275;276;0.00819
0;1;0;2;3;0.602;0.054;115373096;0.51024;1447;0.61864;13291;0.58212;115358358;0.51023;115380329;0.48307;41;0.74545;6236;0.58980;115366819;0.51023;97603516;0.43165;727;0.31082;6867;0.30076;97595922;0.43167;109852993;0.45992;9;0.16364;3075;0.29084;97600432;0.43166;10863031;0.04804;124;0.05301;1821;0.07976;10861086;0.04804;11339986;0.04748;5;0.09091;895;0.08465;10862131;0.04804;2276371;0.01007;41;0.01753;853;0.03736;2275477;0.01006;2276532;0.00953;0;0.00000;367;0.03471;2276004;0.01007;10457;0.14262;76;0.22823;319;0.07910;10062;0.14593;5535;0.17638;49;0.29341;236;0.14364;5250;0.17754;62315;0.84992;147;0.44144;3650;0.90503;58518;0.84867;25414;0.80985;35;0.20958;1361;0.82836;24018;0.81221;547;0.00746;110;0.33033;64;0.01587;373;0.00541;432;0.01377;83;0.49701;46;0.02800;303;0.01025
0;0;1;2;3;0.608;0.055;115584777;0.51060;1490;0.61621;13634;0.58330;115569653;0.51059;115592406;0.48439;56;0.70886;6118;0.58844;115578603;0.51060;98170041;0.43367;759;0.31390;7039;0.30115;98162243;0.43368;109998587;0.46095;12;0.15190;3134;0.30143;98166895;0.43368;10481760;0.04630;126;0.05211;1867;0.07988;10479767;0.04630;10909985;0.04572;7;0.08861;833;0.08012;10480920;0.04630;2134107;0.00943;43;0.01778;834;0.03568;2133230;0.00942;2134286;0.00894;4;0.05063;312;0.03001;2133791;0.00943;10523;0.11187;79;0.20573;327;0.05829;10117;0.11487;5571;0.15740;51;0.30539;240;0.13194;5280;0.15804;83064;0.88302;198;0.51562;5227;0.93173;77639;0.88152;29428;0.83142;35;0.20958;1537;0.84497;27856;0.83379;481;0.00511;107;0.27865;56;0.00998;318;0.00361;396;0.01119;81;0.48503;42;0.02309;273;0.00817
1;2;3;4;0;0.609;0.055;115159949;0.51094;1587;0.62752;13560;0.58426;115144802;0.51093;115167532;0.48442;86;0.76106;6502;0.58943;115153361;0.51093;97549713;0.43281;801;0.31673;6968;0.30023;97541944;0.43282;109438066;0.46032;17;0.15044;3350;0.30369;97546346;0.43281;10419601;0.04623;104;0.04112;1839;0.07924;10417658;0.04623;10876105;0.04575;9;0.07965;831;0.07533;10418761;0.04623;2259803;0.01003;37;0.01463;842;0.03628;2258924;0.01002;2259980;0.00951;1;0.00885;348;0.03155;2259454;0.01003;10505;0.13167;82;0.24924;324;0.06516;10099;0.13560;5562;0.16780;51;0.33117;239;0.13920;5272;0.16857;68776;0.86207;143;0.43465;4589;0.92297;64044;0.85989;27179;0.81998;22;0.14286;1435;0.83576;25722;0.82245;499;0.00625;104;0.31611;59;0.01187;336;0.00451;405;0.01222;81;0.52597;43;0.02504;281;0.00898
1;2;3;0;4;0.606;0.054;115279491;0.50950;1506;0.61797;13679;0.58633;115264306;0.50949;115287102;0.48326;66;0.74157;6420;0.59571;115273005;0.50950;97686633;0.43175;780;0.32007;7126;0.30544;97678727;0.43176;109512485;0.45905;13;0.14607;3237;0.30036;97683383;0.43175;10865966;0.04802;113;0.04637;1741;0.07462;10864112;0.04802;11336175;0.04752;9;0.10112;800;0.07423;10865157;0.04802;2426825;0.01073;38;0.01559;784;0.03360;2426003;0.01072;2427010;0.01017;1;0.01124;320;0.02969;2426504;0.01072;10531;0.10993;80;0.20997;327;0.05733;10124;0.11286;5577;0.15222;52;0.30409;242;0.12997;5283;0.15267;84789;0.88513;195;0.51181;5321;0.93285;79273;0.88368;30670;0.83713;39;0.22807;1580;0.84855;29051;0.83953;473;0.00494;106;0.27822;56;0.00982;311;0.00347;390;0.01064;80;0.46784;40;0.02148;270;0.00780
1;2;0;3;4;0.603;0.054;115156761;0.50931;1471;0.62172;13379;0.58215;115141911;0.50930;115164430;0.48229;59;0.74684;6168;0.59063;115150534;0.50931;97423639;0.43088;724;0.30600;6981;0.30376;97415934;0.43090;109640183;0.45916;12;0.15190;3097;0.29656;97420530;0.43089;11070866;0.04896;132;0.05579;1774;0.07719;11068960;0.04896;11528844;0.04828;7;0.08861;825;0.07900;11070034;0.04896;2450654;0.01084;39;0.01648;848;0.03690;2449767;0.01084;2450885;0.01026;1;0.01266;353;0.03380;2450300;0.01084;10473;0.13921;77;0.23263;323;0.07880;10073;0.14227;5552;0.17026;50;0.30120;240;0.14303;5262;0.17104;64230;0.85374;145;0.43807;3716;0.90656;60369;0.85262;26641;0.81701;34;0.20482;1396;0.83194;25211;0.81950;531;0.00706;109;0.32931;60;0.01464;362;0.00511;415;0.01273;82;0.49398;42;0.02503;291;0.00946
1;0;2;3;4;0.608;0.054;115354745;0.50995;1541;0.62137;13696;0.58462;115339508;0.50994;115362132;0.48357;59;0.74684;6354;0.59079;115348332;0.50994;97871051;0.43266;766;0.30887;7159;0.30559;97863126;0.43267;109753710;0.46006;12;0.15190;3218;0.29921;97867821;0.43266;10637512;0.04703;131;0.05282;1758;0.07504;10635623;0.04702;11101576;0.04654;7;0.08861;840;0.07810;10636665;0.04702;2345542;0.01037;42;0.01694;814;0.03475;2344686;0.01037;2345721;0.00983;1;0.01266;343;0.03189;2345198;0.01037;10536;0.10989;81;0.21149;328;0.05775;10127;0.11275;5581;0.15236;53;0.31361;241;0.13006;5287;0.15276;84874;0.88523;197;0.51436;5297;0.93257;79380;0.88382;30664;0.83711;37;0.21893;1571;0.84781;29056;0.83955;468;0.00488;105;0.27415;55;0.00968;308;0.00343;386;0.01054;79;0.46746;41;0.02213;266;0.00769
0;1;2;3;4;0.610;0.055;115506869;0.51017;1534;0.61656;13769;0.58328;115491566;0.51016;115514532;0.48395;63;0.70787;6419;0.59292;115500387;0.51016;98083107;0.43321;777;0.31230;7073;0.29963;98075257;0.43323;109899936;0.46043;13;0.14607;3228;0.29817;98079866;0.43322;10591123;0.04678;132;0.05305;1887;0.07994;10589104;0.04678;11048417;0.04629;9;0.10112;850;0.07851;10590264;0.04678;2228738;0.00984;45;0.01809;877;0.03715;2227816;0.00984;2228906;0.00934;4;0.04494;329;0.03039;2228405;0.00984;10539;0.11039;82;0.20972;331;0.05721;10126;0.11341;5583;0.15327;54;0.31953;244;0.12768;5285;0.15387;84463;0.88474;205;0.52430;5403;0.93381;78855;0.88313;30460;0.83619;37;0.21893;1629;0.85243;28794;0.83833;465;0.00487;104;0.26598;52;0.00899;309;0.00346;384;0.01054;78;0.46154;38;0.01988;268;0.00780
1;2;3;4;5;0.608;0.054;114854053;0.51075;1371;0.61096;13057;0.58285;114839625;0.51074;114861701;0.48365;66;0.74157;6079;0.58837;114847908;0.51074;97134095;0.43195;704;0.31373;6824;0.30462;97126567;0.43196;109248220;0.46002;13;0.14607;3088;0.29888;97130994;0.43195;10561516;0.04697;128;0.05704;1723;0.07691;10559665;0.04696;11053655;0.04654;9;0.10112;823;0.07966;10560684;0.04696;2324498;0.01034;41;0.01827;798;0.03562;2323659;0.01033;2324682;0.00979;1;0.01124;342;0.03310;2324155;0.01034;10399;0.18849;73;0.29435;313;0.11304;10013;0.19199;5513;0.20898;46;0.32394;233;0.18805;5234;0.20937;44167;0.80055;62;0.25000;2386;0.86168;41719;0.79992;20413;0.77381;10;0.07042;957;0.77240;19446;0.77787;605;0.01097;113;0.45565;70;0.02528;422;0.00809;454;0.01721;86;0.60563;49;0.03955;319;0.01276
