;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;9;9;9;9;127;127;127;127
0-1-0-0-0;9;9;9;9;123;123;123;123
0-0-1-0-0;9;9;9;9;123;123;123;123
0-0-0-1-0;9;9;9;9;127;127;127;127
0-0-0-0-1;9;9;9;9;125;125;125;125
1-2-0-0-0;9;9;9;9;123;123;123;123
1-0-2-0-0;9;9;9;9;121;121;121;121
1-0-0-2-0;9;9;9;9;125;125;125;125
1-0-0-0-2;9;9;9;9;122;122;122;122
0-1-2-0-0;9;9;9;9;120;120;120;120
0-1-0-2-0;9;9;9;9;123;123;123;123
0-1-0-0-2;9;9;9;9;120;120;120;120
0-0-1-2-0;9;9;9;9;122;122;122;122
0-0-1-0-2;9;9;9;9;122;122;122;122
0-0-0-1-2;9;9;9;9;124;124;124;124
1-2-3-0-0;9;9;9;9;123;123;123;123
1-2-0-3-0;9;9;9;9;123;123;123;123
1-2-0-0-3;9;9;9;9;124;124;124;124
1-0-2-3-0;9;9;9;9;121;121;121;121
1-0-2-0-3;9;9;9;9;122;122;122;122
1-0-0-2-3;9;9;9;9;126;126;126;126
0-1-2-3-0;9;9;9;9;120;121;121;121
0-1-2-0-3;9;9;9;9;120;120;120;120
0-1-0-2-3;9;9;9;9;124;124;124;124
0-0-1-2-3;9;9;9;9;122;122;122;122
1-2-3-4-0;9;9;9;9;120;121;121;121
1-2-3-0-4;9;9;9;9;120;120;120;120
1-2-0-3-4;9;9;9;9;123;123;123;123
1-0-2-3-4;9;9;9;9;121;121;121;121
0-1-2-3-4;9;9;9;9;120;120;120;120
1-2-3-4-5;9;9;9;9;120;120;120;120
