;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0;0;0;0;39;39;39;39
0-1-0-0-0;0;0;0;0;59;59;59;59
0-0-1-0-0;0;0;0;0;39;39;39;39
0-0-0-1-0;0;0;0;0;24;24;24;24
0-0-0-0-1;0;0;0;0;22;22;22;22
1-2-0-0-0;0;0;0;0;68;68;68;68
1-0-2-0-0;0;0;0;0;62;62;62;62
1-0-0-2-0;0;0;0;0;46;46;46;46
1-0-0-0-2;0;0;0;0;45;45;45;45
0-1-2-0-0;0;0;0;0;77;77;77;77
0-1-0-2-0;0;0;0;0;68;68;68;68
0-1-0-0-2;0;0;0;0;67;67;67;67
0-0-1-2-0;0;0;0;0;43;43;43;43
0-0-1-0-2;0;0;0;0;46;46;46;46
0-0-0-1-2;0;0;0;0;31;31;31;31
1-2-3-0-0;0;0;0;0;49;54;54;54
1-2-0-3-0;0;0;0;0;47;54;54;54
1-2-0-0-3;0;0;0;0;52;57;57;57
1-0-2-3-0;0;0;0;0;46;48;48;48
1-0-2-0-3;0;0;0;0;49;54;54;54
1-0-0-2-3;0;0;0;0;35;37;37;37
0-1-2-3-0;0;0;0;0;53;58;58;58
0-1-2-0-3;0;0;0;0;59;59;59;59
0-1-0-2-3;0;0;0;0;48;51;51;51
0-0-1-2-3;0;0;0;0;38;39;39;39
1-2-3-4-0;0;0;0;0;63;69;69;69
1-2-3-0-4;0;0;0;0;68;71;71;71
1-2-0-3-4;0;0;0;0;57;61;61;61
1-0-2-3-4;0;0;0;0;51;56;56;56
0-1-2-3-4;0;0;0;0;62;62;62;62
1-2-3-4-5;0;0;0;0;56;56;54;56
