;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1564;1564;1564;1564;2635;2635;2635;2635
0-1-0-0-0;1488;1488;1488;1488;2483;2483;2483;2483
0-0-1-0-0;1692;1692;1692;1692;2385;2385;2385;2385
0-0-0-1-0;1480;1480;1480;1480;2656;2656;2656;2656
0-0-0-0-1;1617;1617;1617;1617;2731;2731;2731;2731
1-2-0-0-0;1418;1418;1418;1418;2229;2229;2229;2229
1-0-2-0-0;1492;1492;1492;1492;2061;2061;2061;2061
1-0-0-2-0;1374;1374;1374;1374;2176;2176;2176;2176
1-0-0-0-2;1462;1462;1462;1462;2241;2241;2241;2241
0-1-2-0-0;1439;1439;1439;1439;2023;2023;2023;2023
0-1-0-2-0;1342;1342;1342;1342;2089;2089;2089;2089
0-1-0-0-2;1421;1421;1421;1421;2183;2183;2183;2183
0-0-1-2-0;1426;1426;1426;1426;2137;2137;2137;2137
0-0-1-0-2;1530;1530;1530;1530;2172;2172;2172;2172
0-0-0-1-2;1414;1414;1414;1414;2289;2289;2289;2289
1-2-3-0-0;1466;1469;1469;1469;2293;2301;2301;2301
1-2-0-3-0;1448;1452;1452;1452;2317;2325;2325;2325
1-2-0-0-3;1455;1457;1457;1457;2300;2309;2309;2309
1-0-2-3-0;1512;1517;1517;1517;2156;2165;2165;2165
1-0-2-0-3;1523;1528;1528;1528;2163;2171;2171;2171
1-0-0-2-3;1431;1433;1433;1433;2266;2278;2278;2278
0-1-2-3-0;1462;1465;1465;1465;2109;2117;2117;2117
0-1-2-0-3;1474;1477;1477;1477;2122;2132;2132;2132
0-1-0-2-3;1393;1398;1398;1398;2207;2212;2212;2212
0-0-1-2-3;1472;1476;1476;1476;2210;2212;2212;2212
1-2-3-4-0;1409;1411;1411;1411;1991;2002;2002;2002
1-2-3-0-4;1418;1419;1419;1419;2004;2011;2011;2011
1-2-0-3-4;1357;1360;1360;1360;2069;2078;2078;2078
1-0-2-3-4;1398;1398;1398;1398;1994;2008;2008;2008
0-1-2-3-4;1366;1368;1368;1368;1961;1970;1970;1970
1-2-3-4-5;1438;1442;1440;1442;2076;2093;2091;2093
