;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.231;0.231;0.231;0.231;0.451;0.451;0.451;0.451
0-1-0-0-0;0.242;0.242;0.242;0.242;0.460;0.460;0.460;0.460
0-0-1-0-0;0.238;0.238;0.238;0.238;0.478;0.478;0.478;0.478
0-0-0-1-0;0.239;0.239;0.239;0.239;0.451;0.451;0.451;0.451
0-0-0-0-1;0.239;0.239;0.239;0.239;0.460;0.460;0.460;0.460
1-2-0-0-0;0.253;0.253;0.253;0.253;0.472;0.472;0.472;0.472
1-0-2-0-0;0.254;0.254;0.254;0.254;0.486;0.486;0.486;0.486
1-0-0-2-0;0.254;0.254;0.254;0.254;0.472;0.472;0.472;0.472
1-0-0-0-2;0.254;0.254;0.254;0.254;0.476;0.476;0.476;0.476
0-1-2-0-0;0.258;0.258;0.258;0.258;0.490;0.490;0.490;0.490
0-1-0-2-0;0.259;0.259;0.259;0.259;0.478;0.478;0.478;0.478
0-1-0-0-2;0.257;0.257;0.257;0.257;0.478;0.478;0.478;0.478
0-0-1-2-0;0.255;0.255;0.255;0.255;0.483;0.483;0.483;0.483
0-0-1-0-2;0.255;0.255;0.255;0.255;0.486;0.486;0.486;0.486
0-0-0-1-2;0.257;0.257;0.257;0.257;0.475;0.475;0.475;0.475
1-2-3-0-0;0.258;0.250;0.250;0.250;0.475;0.479;0.479;0.479
1-2-0-3-0;0.258;0.249;0.249;0.249;0.468;0.476;0.476;0.476
1-2-0-0-3;0.258;0.252;0.252;0.252;0.473;0.478;0.478;0.478
1-0-2-3-0;0.257;0.247;0.247;0.247;0.478;0.487;0.487;0.487
1-0-2-0-3;0.258;0.248;0.248;0.248;0.482;0.488;0.488;0.488
1-0-0-2-3;0.260;0.250;0.250;0.250;0.473;0.480;0.480;0.480
0-1-2-3-0;0.260;0.252;0.252;0.252;0.483;0.487;0.487;0.487
0-1-2-0-3;0.260;0.251;0.251;0.251;0.484;0.489;0.489;0.489
0-1-0-2-3;0.263;0.254;0.254;0.254;0.476;0.481;0.481;0.481
0-0-1-2-3;0.259;0.251;0.251;0.251;0.480;0.488;0.488;0.488
1-2-3-4-0;0.263;0.258;0.258;0.258;0.482;0.492;0.492;0.492
1-2-3-0-4;0.265;0.260;0.260;0.260;0.484;0.493;0.493;0.493
1-2-0-3-4;0.266;0.260;0.260;0.260;0.477;0.488;0.488;0.488
1-0-2-3-4;0.264;0.259;0.259;0.259;0.483;0.494;0.494;0.494
0-1-2-3-4;0.266;0.261;0.261;0.261;0.485;0.495;0.495;0.495
1-2-3-4-5;0.260;0.253;0.255;0.253;0.490;0.492;0.491;0.492
