;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;329;329;329;329;1753;1753;1753;1753
0-1-0-0-0;370;370;370;370;2030;2030;2030;2030
0-0-1-0-0;254;254;254;254;1631;1631;1631;1631
0-0-0-1-0;409;409;409;409;1359;1359;1359;1359
0-0-0-0-1;291;291;291;291;1330;1330;1330;1330
1-2-0-0-0;456;456;456;456;2470;2470;2470;2470
1-0-2-0-0;392;392;392;392;2412;2412;2412;2412
1-0-0-2-0;531;531;531;531;2301;2301;2301;2301
1-0-0-0-2;437;437;437;437;2237;2237;2237;2237
0-1-2-0-0;417;417;417;417;2621;2621;2621;2621
0-1-0-2-0;544;544;544;544;2512;2512;2512;2512
0-1-0-0-2;456;456;456;456;2445;2445;2445;2445
0-0-1-2-0;474;474;474;474;2109;2109;2109;2109
0-0-1-0-2;379;379;379;379;2095;2095;2095;2095
0-0-0-1-2;493;493;493;493;1892;1892;1892;1892
1-2-3-0-0;376;379;379;379;2079;2087;2087;2087
1-2-0-3-0;384;388;388;388;2021;2029;2029;2029
1-2-0-0-3;389;391;391;391;2097;2106;2106;2106
1-0-2-3-0;346;351;351;351;1960;1969;1969;1969
1-0-2-0-3;344;349;349;349;2029;2037;2037;2037
1-0-0-2-3;414;416;416;416;1883;1895;1895;1895
0-1-2-3-0;372;375;375;375;2120;2128;2128;2128
0-1-2-0-3;369;372;372;372;2178;2188;2188;2188
0-1-0-2-3;429;434;434;434;2069;2074;2074;2074
0-0-1-2-3;372;376;376;376;1821;1823;1823;1823
1-2-3-4-0;431;433;433;433;2466;2477;2477;2477
1-2-3-0-4;432;433;433;433;2515;2522;2522;2522
1-2-0-3-4;489;492;492;492;2434;2443;2443;2443
1-0-2-3-4;449;449;449;449;2318;2332;2332;2332
0-1-2-3-4;464;466;466;466;2464;2473;2473;2473
1-2-3-4-5;392;396;394;396;2196;2213;2211;2213
