;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1299;1299;1299;1299;1866;1866;1866;1866
0-1-0-0-0;1232;1232;1232;1232;1731;1731;1731;1731
0-0-1-0-0;1413;1413;1413;1413;1716;1716;1716;1716
0-0-0-1-0;1219;1219;1219;1219;1939;1939;1939;1939
0-0-0-0-1;1323;1323;1323;1323;1941;1941;1941;1941
1-2-0-0-0;1180;1180;1180;1180;1588;1588;1588;1588
1-0-2-0-0;1246;1246;1246;1246;1487;1487;1487;1487
1-0-0-2-0;1139;1139;1139;1139;1574;1574;1574;1574
1-0-0-0-2;1212;1212;1212;1212;1595;1595;1595;1595
0-1-2-0-0;1197;1197;1197;1197;1453;1453;1453;1453
0-1-0-2-0;1108;1108;1108;1108;1505;1505;1505;1505
0-1-0-0-2;1172;1172;1172;1172;1542;1542;1542;1542
0-0-1-2-0;1183;1183;1183;1183;1569;1569;1569;1569
0-0-1-0-2;1268;1268;1268;1268;1577;1577;1577;1577
0-0-0-1-2;1162;1162;1162;1162;1682;1682;1682;1682
1-2-3-0-0;1221;1223;1223;1223;1623;1629;1629;1629
1-2-0-3-0;1201;1202;1202;1202;1638;1643;1643;1643
1-2-0-0-3;1204;1205;1205;1205;1623;1628;1628;1628
1-0-2-3-0;1260;1263;1263;1263;1537;1545;1545;1545
1-0-2-0-3;1266;1269;1269;1269;1535;1541;1541;1541
1-0-0-2-3;1180;1179;1179;1179;1625;1630;1630;1630
0-1-2-3-0;1215;1217;1217;1217;1502;1507;1507;1507
0-1-2-0-3;1220;1222;1222;1222;1495;1503;1503;1503
0-1-0-2-3;1148;1150;1150;1150;1564;1570;1570;1570
0-0-1-2-3;1215;1218;1218;1218;1598;1597;1597;1597
1-2-3-4-0;1173;1174;1174;1174;1425;1436;1436;1436
1-2-3-0-4;1178;1179;1179;1179;1428;1433;1433;1433
1-2-0-3-4;1123;1124;1124;1124;1470;1477;1477;1477
1-0-2-3-4;1159;1159;1159;1159;1438;1445;1445;1445
0-1-2-3-4;1132;1133;1133;1133;1414;1419;1419;1419
1-2-3-4-5;1194;1196;1195;1196;1468;1479;1477;1479
