;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.52742;0.52742;0.52742;0.52742
0-1-0-0-0;nan;nan;nan;nan;0.50868;0.50868;0.50868;0.50868
0-0-1-0-0;nan;nan;nan;nan;0.50977;0.50977;0.50977;0.50977
0-0-0-1-0;nan;nan;nan;nan;0.51038;0.51038;0.51038;0.51038
0-0-0-0-1;nan;nan;nan;nan;0.51642;0.51642;0.51642;0.51642
1-2-0-0-0;nan;nan;nan;nan;0.52938;0.52938;0.52938;0.52938
1-0-2-0-0;nan;nan;nan;nan;0.52224;0.52224;0.52224;0.52224
1-0-0-2-0;nan;nan;nan;nan;0.52105;0.52105;0.52105;0.52105
1-0-0-0-2;nan;nan;nan;nan;0.53516;0.53516;0.53516;0.53516
0-1-2-0-0;nan;nan;nan;nan;0.51527;0.51527;0.51527;0.51527
0-1-0-2-0;nan;nan;nan;nan;0.51487;0.51487;0.51487;0.51487
0-1-0-0-2;nan;nan;nan;nan;0.52774;0.52774;0.52774;0.52774
0-0-1-2-0;nan;nan;nan;nan;0.51845;0.51845;0.51845;0.51845
0-0-1-0-2;nan;nan;nan;nan;0.52263;0.52263;0.52263;0.52263
0-0-0-1-2;nan;nan;nan;nan;0.52385;0.52385;0.52385;0.52385
1-2-3-0-0;nan;nan;nan;nan;0.53381;0.52127;0.52127;0.52127
1-2-0-3-0;nan;nan;nan;nan;0.52999;0.52195;0.52195;0.52195
1-2-0-0-3;nan;nan;nan;nan;0.54071;0.52432;0.52432;0.52432
1-0-2-3-0;nan;nan;nan;nan;0.52390;0.51548;0.51548;0.51548
1-0-2-0-3;nan;nan;nan;nan;0.53507;0.52305;0.52305;0.52305
1-0-0-2-3;nan;nan;nan;nan;0.53024;0.52333;0.52333;0.52333
0-1-2-3-0;nan;nan;nan;nan;0.51754;0.50908;0.50908;0.50908
0-1-2-0-3;nan;nan;nan;nan;0.52863;0.51248;0.51248;0.51248
0-1-0-2-3;nan;nan;nan;nan;0.52777;0.51239;0.51239;0.51239
0-0-1-2-3;nan;nan;nan;nan;0.52389;0.50809;0.50809;0.50809
1-2-3-4-0;nan;nan;nan;nan;0.52479;0.51442;0.51442;0.51442
1-2-3-0-4;nan;nan;nan;nan;0.53798;0.52240;0.52240;0.52240
1-2-0-3-4;nan;nan;nan;nan;0.53277;0.52135;0.52135;0.52135
1-0-2-3-4;nan;nan;nan;nan;0.52940;0.51577;0.51577;0.51577
0-1-2-3-4;nan;nan;nan;nan;0.52504;0.51154;0.51154;0.51154
1-2-3-4-5;nan;nan;nan;nan;0.52577;0.51640;0.51984;0.51640
