;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0;0;0;0;5;5;5;5
0-1-0-0-0;0;0;0;0;16;16;16;16
0-0-1-0-0;0;0;0;0;11;11;11;11
0-0-0-1-0;0;0;0;0;4;4;4;4
0-0-0-0-1;0;0;0;0;10;10;10;10
1-2-0-0-0;0;0;0;0;14;14;14;14
1-0-2-0-0;0;0;0;0;13;13;13;13
1-0-0-2-0;0;0;0;0;8;8;8;8
1-0-0-0-2;0;0;0;0;14;14;14;14
0-1-2-0-0;0;0;0;0;19;19;19;19
0-1-0-2-0;0;0;0;0;16;16;16;16
0-1-0-0-2;0;0;0;0;16;16;16;16
0-0-1-2-0;0;0;0;0;9;9;9;9
0-0-1-0-2;0;0;0;0;14;14;14;14
0-0-0-1-2;0;0;0;0;10;10;10;10
1-2-3-0-0;0;0;0;0;10;11;11;11
1-2-0-3-0;0;0;0;0;8;9;9;9
1-2-0-0-3;0;0;0;0;9;11;11;11
1-0-2-3-0;0;0;0;0;7;8;8;8
1-0-2-0-3;0;0;0;0;8;9;9;9
1-0-0-2-3;0;0;0;0;5;6;6;6
0-1-2-3-0;0;0;0;0;10;11;11;11
0-1-2-0-3;0;0;0;0;10;14;14;14
0-1-0-2-3;0;0;0;0;8;10;10;10
0-0-1-2-3;0;0;0;0;5;8;8;8
1-2-3-4-0;0;0;0;0;10;12;12;12
1-2-3-0-4;0;0;0;0;10;16;16;16
1-2-0-3-4;0;0;0;0;10;14;14;14
1-0-2-3-4;0;0;0;0;8;12;12;12
0-1-2-3-4;0;0;0;0;10;16;16;16
1-2-3-4-5;0;0;0;0;8;15;15;15
