;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1507;1507;1507;1507;2158;2158;2158;2158
0-1-0-0-0;1431;1431;1431;1431;2028;2028;2028;2028
0-0-1-0-0;1635;1635;1635;1635;1950;1950;1950;1950
0-0-0-1-0;1423;1423;1423;1423;2188;2188;2188;2188
0-0-0-0-1;1560;1560;1560;1560;2266;2266;2266;2266
1-2-0-0-0;1361;1361;1361;1361;1787;1787;1787;1787
1-0-2-0-0;1435;1435;1435;1435;1642;1642;1642;1642
1-0-0-2-0;1317;1317;1317;1317;1736;1736;1736;1736
1-0-0-0-2;1405;1405;1405;1405;1798;1798;1798;1798
0-1-2-0-0;1382;1382;1382;1382;1607;1607;1607;1607
0-1-0-2-0;1285;1285;1285;1285;1654;1654;1654;1654
0-1-0-0-2;1364;1364;1364;1364;1744;1744;1744;1744
0-0-1-2-0;1369;1369;1369;1369;1714;1714;1714;1714
0-0-1-0-2;1473;1473;1473;1473;1746;1746;1746;1746
0-0-0-1-2;1357;1357;1357;1357;1844;1844;1844;1844
1-2-3-0-0;1409;1412;1412;1412;1848;1857;1857;1857
1-2-0-3-0;1391;1395;1395;1395;1870;1878;1878;1878
1-2-0-0-3;1398;1400;1400;1400;1853;1862;1862;1862
1-0-2-3-0;1455;1460;1460;1460;1727;1736;1736;1736
1-0-2-0-3;1466;1471;1471;1471;1734;1742;1742;1742
1-0-0-2-3;1374;1376;1376;1376;1819;1831;1831;1831
0-1-2-3-0;1405;1408;1408;1408;1683;1690;1690;1690
0-1-2-0-3;1417;1420;1420;1420;1695;1705;1705;1705
0-1-0-2-3;1336;1341;1341;1341;1767;1772;1772;1772
0-0-1-2-3;1415;1419;1419;1419;1781;1783;1783;1783
1-2-3-4-0;1352;1354;1354;1354;1575;1586;1586;1586
1-2-3-0-4;1361;1362;1362;1362;1586;1593;1593;1593
1-2-0-3-4;1300;1303;1303;1303;1639;1648;1648;1648
1-0-2-3-4;1341;1341;1341;1341;1580;1594;1594;1594
0-1-2-3-4;1309;1311;1311;1311;1546;1555;1555;1555
1-2-3-4-5;1381;1385;1383;1385;1653;1670;1668;1670
