;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.21488;0.21488;0.21488;0.21488
0-1-0-0-0;nan;nan;nan;nan;0.17222;0.17222;0.17222;0.17222
0-0-1-0-0;nan;nan;nan;nan;0.19825;0.19825;0.19825;0.19825
0-0-0-1-0;nan;nan;nan;nan;0.18834;0.18834;0.18834;0.18834
0-0-0-0-1;nan;nan;nan;nan;0.11940;0.11940;0.11940;0.11940
1-2-0-0-0;nan;nan;nan;nan;0.18250;0.18250;0.18250;0.18250
1-0-2-0-0;nan;nan;nan;nan;0.18737;0.18737;0.18737;0.18737
1-0-0-2-0;nan;nan;nan;nan;0.20580;0.20580;0.20580;0.20580
1-0-0-0-2;nan;nan;nan;nan;0.16047;0.16047;0.16047;0.16047
0-1-2-0-0;nan;nan;nan;nan;0.17474;0.17474;0.17474;0.17474
0-1-0-2-0;nan;nan;nan;nan;0.18889;0.18889;0.18889;0.18889
0-1-0-0-2;nan;nan;nan;nan;0.15955;0.15955;0.15955;0.15955
0-0-1-2-0;nan;nan;nan;nan;0.20888;0.20888;0.20888;0.20888
0-0-1-0-2;nan;nan;nan;nan;0.19231;0.19231;0.19231;0.19231
0-0-0-1-2;nan;nan;nan;nan;0.15584;0.15584;0.15584;0.15584
1-2-3-0-0;nan;nan;nan;nan;0.18750;0.18000;0.18000;0.18000
1-2-0-3-0;nan;nan;nan;nan;0.19444;0.18333;0.18333;0.18333
1-2-0-0-3;nan;nan;nan;nan;0.18551;0.17971;0.17971;0.17971
1-0-2-3-0;nan;nan;nan;nan;0.19348;0.18261;0.18261;0.18261
1-0-2-0-3;nan;nan;nan;nan;0.18202;0.17528;0.17528;0.17528
1-0-0-2-3;nan;nan;nan;nan;0.21708;0.20285;0.20285;0.20285
0-1-2-3-0;nan;nan;nan;nan;0.18043;0.18095;0.18095;0.18095
0-1-2-0-3;nan;nan;nan;nan;0.17609;0.16304;0.16304;0.16304
0-1-0-2-3;nan;nan;nan;nan;0.19643;0.17857;0.17857;0.17857
0-0-1-2-3;nan;nan;nan;nan;0.20652;0.19022;0.19022;0.19022
1-2-3-4-0;nan;nan;nan;nan;0.18400;0.18043;0.18043;0.18043
1-2-3-0-4;nan;nan;nan;nan;0.18000;0.16400;0.16400;0.16400
1-2-0-3-4;nan;nan;nan;nan;0.19722;0.17500;0.17500;0.17500
1-0-2-3-4;nan;nan;nan;nan;0.19348;0.17391;0.17391;0.17391
0-1-2-3-4;nan;nan;nan;nan;0.18261;0.16739;0.16739;0.16739
1-2-3-4-5;nan;nan;nan;nan;0.17609;0.16739;0.16739;0.16739
