;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.56292;0.56292;0.56292;0.56292;0.65603;0.65603;0.65603;0.65603
0-1-0-0-0;0.57502;0.57502;0.57502;0.57502;0.65375;0.65375;0.65375;0.65375
0-0-1-0-0;0.54276;0.54276;0.54276;0.54276;0.68215;0.68215;0.68215;0.68215
0-0-0-1-0;0.57175;0.57175;0.57175;0.57175;0.67524;0.67524;0.67524;0.67524
0-0-0-0-1;0.55556;0.55556;0.55556;0.55556;0.67075;0.67075;0.67075;0.67075
1-2-0-0-0;0.57963;0.57963;0.57963;0.57963;0.65125;0.65125;0.65125;0.65125
1-0-2-0-0;0.57123;0.57123;0.57123;0.57123;0.66659;0.66659;0.66659;0.66659
1-0-0-2-0;0.57975;0.57975;0.57975;0.57975;0.66351;0.66351;0.66351;0.66351
1-0-0-0-2;0.57220;0.57220;0.57220;0.57220;0.66181;0.66181;0.66181;0.66181
0-1-2-0-0;0.58000;0.58000;0.58000;0.58000;0.65916;0.65916;0.65916;0.65916
0-1-0-2-0;0.58513;0.58513;0.58513;0.58513;0.65959;0.65959;0.65959;0.65959
0-1-0-0-2;0.57896;0.57896;0.57896;0.57896;0.65589;0.65589;0.65589;0.65589
0-0-1-2-0;0.57551;0.57551;0.57551;0.57551;0.67620;0.67620;0.67620;0.67620
0-0-1-0-2;0.56425;0.56425;0.56425;0.56425;0.67425;0.67425;0.67425;0.67425
0-0-0-1-2;0.57575;0.57575;0.57575;0.57575;0.67579;0.67579;0.67579;0.67579
1-2-3-0-0;0.57926;0.57818;0.57818;0.57818;0.66583;0.66481;0.66481;0.66481
1-2-0-3-0;0.58231;0.58087;0.58087;0.58087;0.66695;0.66592;0.66592;0.66592
1-2-0-0-3;0.58005;0.57933;0.57933;0.57933;0.66438;0.66323;0.66323;0.66323
1-0-2-3-0;0.57268;0.57087;0.57087;0.57087;0.68251;0.68134;0.68134;0.68134
1-0-2-0-3;0.57041;0.56860;0.56860;0.56860;0.67835;0.67733;0.67733;0.67733
1-0-0-2-3;0.58220;0.58148;0.58148;0.58148;0.67805;0.67649;0.67649;0.67649
0-1-2-3-0;0.58070;0.57962;0.57962;0.57962;0.67777;0.67674;0.67674;0.67674
0-1-2-0-3;0.57836;0.57727;0.57727;0.57727;0.67380;0.67253;0.67253;0.67253
0-1-0-2-3;0.58881;0.58702;0.58702;0.58702;0.67291;0.67227;0.67227;0.67227
0-0-1-2-3;0.57842;0.57698;0.57698;0.57698;0.68569;0.68543;0.68543;0.68543
1-2-3-4-0;0.58493;0.58422;0.58422;0.58422;0.66912;0.66775;0.66775;0.66775
1-2-3-0-4;0.58277;0.58241;0.58241;0.58241;0.66573;0.66487;0.66487;0.66487
1-2-0-3-4;0.58896;0.58789;0.58789;0.58789;0.66491;0.66379;0.66379;0.66379
1-0-2-3-4;0.58504;0.58504;0.58504;0.58504;0.67632;0.67457;0.67457;0.67457
0-1-2-3-4;0.59024;0.58953;0.58953;0.58953;0.67144;0.67033;0.67033;0.67033
1-2-3-4-5;0.58352;0.58208;0.58280;0.58208;0.67636;0.67421;0.67446;0.67421
