;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;10019086;10019086;10019086;10019086;102887848;102887848;102887848;102887848
0-1-0-0-0;10024089;10024089;10024089;10024089;103222956;103222956;103222956;103222956
0-0-1-0-0;9959198;9959198;9959198;9959198;105325891;105325891;105325891;105325891
0-0-0-1-0;10065546;10065546;10065546;10065546;103677383;103677383;103677383;103677383
0-0-0-0-1;10028825;10028825;10028825;10028825;103689463;103689463;103689463;103689463
1-2-0-0-0;10402041;10402041;10402041;10402041;105653833;105653833;105653833;105653833
1-0-2-0-0;10426181;10426181;10426181;10426181;107487995;107487995;107487995;107487995
1-0-0-2-0;10506230;10506230;10506230;10506230;106742325;106742325;106742325;106742325
1-0-0-0-2;10407812;10407812;10407812;10407812;106600104;106600104;106600104;106600104
0-1-2-0-0;10386867;10386867;10386867;10386867;107482008;107482008;107482008;107482008
0-1-0-2-0;10518238;10518238;10518238;10518238;106895706;106895706;106895706;106895706
0-1-0-0-2;10415889;10415889;10415889;10415889;106566665;106566665;106566665;106566665
0-0-1-2-0;10449528;10449528;10449528;10449528;107583025;107583025;107583025;107583025
0-0-1-0-2;10380462;10380462;10380462;10380462;107676568;107676568;107676568;107676568
0-0-0-1-2;10482771;10482771;10482771;10482771;107020698;107020698;107020698;107020698
1-2-3-0-0;10458981;10119231;10119231;10119231;106735404;104320923;104320923;104320923
1-2-0-3-0;10535474;10144585;10144585;10144585;106763438;104342371;104342371;104342371
1-2-0-0-3;10490024;10177133;10177133;10177133;106823372;104432025;104432025;104432025
1-0-2-3-0;10552378;10162397;10162397;10162397;108005655;105649507;105649507;105649507
1-0-2-0-3;10482924;10169130;10169130;10169130;107777222;105541263;105541263;105541263
1-0-0-2-3;10571556;10212762;10212762;10212762;107568358;105054469;105054469;105054469
0-1-2-3-0;10505048;10118526;10118526;10118526;107954998;105609207;105609207;105609207
0-1-2-0-3;10429724;10127903;10127903;10127903;107738465;105469124;105469124;105469124
0-1-0-2-3;10594716;10237731;10237731;10237731;107488212;105047926;105047926;105047926
0-0-1-2-3;10558349;10186834;10186834;10186834;108239190;105938454;105938454;105938454
1-2-3-4-0;10675937;10360984;10360984;10360984;108602690;106751233;106751233;106751233
1-2-3-0-4;10623111;10316065;10316065;10316065;108454204;106645512;106645512;106645512
1-2-0-3-4;10681090;10356704;10356704;10356704;108211859;106190349;106190349;106190349
1-0-2-3-4;10693038;10413843;10413843;10413843;109021653;107080500;107080500;107080500
0-1-2-3-4;10708686;10433830;10433830;10433830;109009782;107167526;107167526;107167526
1-2-3-4-5;10455101;10201460;10337601;10201460;107125076;105455821;106287244;105455821
