;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;46;46;46;46;299;299;299;299
0-1-0-0-0;46;46;46;46;281;281;281;281
0-0-1-0-0;46;46;46;46;261;261;261;261
0-0-0-1-0;46;46;46;46;289;289;289;289
0-0-0-0-1;46;46;46;46;288;288;288;288
1-2-0-0-0;46;46;46;46;269;269;269;269
1-0-2-0-0;46;46;46;46;249;249;249;249
1-0-0-2-0;46;46;46;46;265;265;265;265
1-0-0-0-2;46;46;46;46;271;271;271;271
0-1-2-0-0;46;46;46;46;246;246;246;246
0-1-0-2-0;46;46;46;46;261;261;261;261
0-1-0-0-2;46;46;46;46;268;268;268;268
0-0-1-2-0;46;46;46;46;250;250;250;250
0-0-1-0-2;46;46;46;46;253;253;253;253
0-0-0-1-2;46;46;46;46;269;269;269;269
1-2-3-0-0;46;46;46;46;272;271;271;271
1-2-0-3-0;46;46;46;46;273;273;273;273
1-2-0-0-3;46;46;46;46;272;272;272;272
1-0-2-3-0;46;46;46;46;258;258;258;258
1-0-2-0-3;46;46;46;46;257;257;257;257
1-0-0-2-3;46;46;46;46;270;270;270;270
0-1-2-3-0;46;46;46;46;255;255;255;255
0-1-2-0-3;46;46;46;46;256;256;256;256
0-1-0-2-3;46;46;46;46;265;265;265;265
0-0-1-2-3;46;46;46;46;255;255;255;255
1-2-3-4-0;46;46;46;46;246;245;245;245
1-2-3-0-4;46;46;46;46;248;248;248;248
1-2-0-3-4;46;46;46;46;256;256;256;256
1-0-2-3-4;46;46;46;46;243;243;243;243
0-1-2-3-4;46;46;46;46;244;244;244;244
1-2-3-4-5;46;46;46;46;252;252;252;252
