;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0;0;0;0;15;15;15;15
0-1-0-0-0;0;0;0;0;22;22;22;22
0-0-1-0-0;0;0;0;0;31;31;31;31
0-0-0-1-0;0;0;0;0;0;0;0;0
0-0-0-0-1;0;0;0;0;12;12;12;12
1-2-0-0-0;0;0;0;0;18;18;18;18
1-0-2-0-0;0;0;0;0;34;34;34;34
1-0-0-2-0;0;0;0;0;9;9;9;9
1-0-0-0-2;0;0;0;0;21;21;21;21
0-1-2-0-0;0;0;0;0;40;40;40;40
0-1-0-2-0;0;0;0;0;14;14;14;14
0-1-0-0-2;0;0;0;0;27;27;27;27
0-0-1-2-0;0;0;0;0;32;32;32;32
0-0-1-0-2;0;0;0;0;32;32;32;32
0-0-0-1-2;0;0;0;0;12;12;12;12
1-2-3-0-0;0;0;0;0;17;23;23;23
1-2-0-3-0;0;0;0;0;8;15;15;15
1-2-0-0-3;0;0;0;0;8;14;14;14
1-0-2-3-0;0;0;0;0;34;40;40;40
1-0-2-0-3;0;0;0;0;33;39;39;39
1-0-0-2-3;0;0;0;0;0;6;6;6
0-1-2-3-0;0;0;0;0;38;40;40;40
0-1-2-0-3;0;0;0;0;39;39;39;39
0-1-0-2-3;0;0;0;0;13;14;14;14
0-0-1-2-3;0;0;0;0;31;32;32;32
1-2-3-4-0;0;0;0;0;40;48;48;48
1-2-3-0-4;0;0;0;0;41;47;47;47
1-2-0-3-4;0;0;0;0;8;15;15;15
1-0-2-3-4;0;0;0;0;40;47;47;47
0-1-2-3-4;0;0;0;0;38;39;39;39
1-2-3-4-5;0;0;0;0;39;39;39;39
