;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;2438;2438;2438;2438;8369;8369;8369;8369
0-1-0-0-0;2514;2514;2514;2514;8521;8521;8521;8521
0-0-1-0-0;2310;2310;2310;2310;8619;8619;8619;8619
0-0-0-1-0;2522;2522;2522;2522;8348;8348;8348;8348
0-0-0-0-1;2385;2385;2385;2385;8273;8273;8273;8273
1-2-0-0-0;2584;2584;2584;2584;8775;8775;8775;8775
1-0-2-0-0;2510;2510;2510;2510;8943;8943;8943;8943
1-0-0-2-0;2628;2628;2628;2628;8828;8828;8828;8828
1-0-0-0-2;2540;2540;2540;2540;8763;8763;8763;8763
0-1-2-0-0;2563;2563;2563;2563;8981;8981;8981;8981
0-1-0-2-0;2660;2660;2660;2660;8915;8915;8915;8915
0-1-0-0-2;2581;2581;2581;2581;8821;8821;8821;8821
0-0-1-2-0;2576;2576;2576;2576;8867;8867;8867;8867
0-0-1-0-2;2472;2472;2472;2472;8832;8832;8832;8832
0-0-0-1-2;2588;2588;2588;2588;8715;8715;8715;8715
1-2-3-0-0;2536;2533;2533;2533;8711;8703;8703;8703
1-2-0-3-0;2554;2550;2550;2550;8687;8679;8679;8679
1-2-0-0-3;2547;2545;2545;2545;8704;8695;8695;8695
1-0-2-3-0;2490;2485;2485;2485;8848;8839;8839;8839
1-0-2-0-3;2479;2474;2474;2474;8841;8833;8833;8833
1-0-0-2-3;2571;2569;2569;2569;8738;8726;8726;8726
0-1-2-3-0;2540;2537;2537;2537;8895;8887;8887;8887
0-1-2-0-3;2528;2525;2525;2525;8882;8872;8872;8872
0-1-0-2-3;2609;2604;2604;2604;8797;8792;8792;8792
0-0-1-2-3;2530;2526;2526;2526;8794;8792;8792;8792
1-2-3-4-0;2593;2591;2591;2591;9013;9002;9002;9002
1-2-3-0-4;2584;2583;2583;2583;9000;8993;8993;8993
1-2-0-3-4;2645;2642;2642;2642;8935;8926;8926;8926
1-0-2-3-4;2604;2604;2604;2604;9010;8996;8996;8996
0-1-2-3-4;2636;2634;2634;2634;9043;9034;9034;9034
1-2-3-4-5;2564;2560;2562;2560;8928;8911;8913;8911
