;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1868;1868;1868;1868;4029;4029;4029;4029
0-1-0-0-0;1935;1935;1935;1935;4148;4148;4148;4148
0-0-1-0-0;1754;1754;1754;1754;4151;4151;4151;4151
0-0-0-1-0;1948;1948;1948;1948;3955;3955;3955;3955
0-0-0-0-1;1844;1844;1844;1844;3947;3947;3947;3947
1-2-0-0-0;1987;1987;1987;1987;4283;4283;4283;4283
1-0-2-0-0;1921;1921;1921;1921;4370;4370;4370;4370
1-0-0-2-0;2028;2028;2028;2028;4300;4300;4300;4300
1-0-0-0-2;1955;1955;1955;1955;4279;4279;4279;4279
0-1-2-0-0;1970;1970;1970;1970;4401;4401;4401;4401
0-1-0-2-0;2059;2059;2059;2059;4362;4362;4362;4362
0-1-0-0-2;1995;1995;1995;1995;4325;4325;4325;4325
0-0-1-2-0;1984;1984;1984;1984;4290;4290;4290;4290
0-0-1-0-2;1899;1899;1899;1899;4285;4285;4285;4285
0-0-0-1-2;2005;2005;2005;2005;4193;4193;4193;4193
1-2-3-0-0;1946;1944;1944;1944;4250;4243;4243;4243
1-2-0-3-0;1966;1965;1965;1965;4236;4231;4231;4231
1-2-0-0-3;1963;1962;1962;1962;4251;4246;4246;4246
1-0-2-3-0;1907;1904;1904;1904;4327;4319;4319;4319
1-0-2-0-3;1901;1898;1898;1898;4329;4323;4323;4323
1-0-0-2-3;1987;1988;1988;1988;4252;4247;4247;4247
0-1-2-3-0;1952;1950;1950;1950;4357;4353;4353;4353
0-1-2-0-3;1947;1945;1945;1945;4366;4358;4358;4358
0-1-0-2-3;2019;2017;2017;2017;4306;4300;4300;4300
0-0-1-2-3;1952;1949;1949;1949;4264;4265;4265;4265
1-2-3-4-0;1994;1993;1993;1993;4429;4418;4418;4418
1-2-3-0-4;1989;1988;1988;1988;4427;4422;4422;4422
1-2-0-3-4;2044;2043;2043;2043;4392;4385;4385;4385
1-0-2-3-4;2008;2008;2008;2008;4415;4408;4408;4408
0-1-2-3-4;2035;2034;2034;2034;4438;4433;4433;4433
1-2-3-4-5;1973;1971;1972;1971;4389;4378;4380;4378
