;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.281;0.281;0.281;0.281;0.511;0.511;0.511;0.511
0-1-0-0-0;0.306;0.306;0.306;0.306;0.537;0.537;0.537;0.537
0-0-1-0-0;0.291;0.291;0.291;0.291;0.550;0.550;0.550;0.550
0-0-0-1-0;0.302;0.302;0.302;0.302;0.528;0.528;0.528;0.528
0-0-0-0-1;0.295;0.295;0.295;0.295;0.522;0.522;0.522;0.522
1-2-0-0-0;0.310;0.310;0.310;0.310;0.543;0.543;0.543;0.543
1-0-2-0-0;0.305;0.305;0.305;0.305;0.559;0.559;0.559;0.559
1-0-0-2-0;0.311;0.311;0.311;0.311;0.547;0.547;0.547;0.547
1-0-0-0-2;0.308;0.308;0.308;0.308;0.543;0.543;0.543;0.543
0-1-2-0-0;0.314;0.314;0.314;0.314;0.566;0.566;0.566;0.566
0-1-0-2-0;0.320;0.320;0.320;0.320;0.558;0.558;0.558;0.558
0-1-0-0-2;0.315;0.315;0.315;0.315;0.551;0.551;0.551;0.551
0-0-1-2-0;0.313;0.313;0.313;0.313;0.559;0.559;0.559;0.559
0-0-1-0-2;0.308;0.308;0.308;0.308;0.558;0.558;0.558;0.558
0-0-0-1-2;0.315;0.315;0.315;0.315;0.547;0.547;0.547;0.547
1-2-3-0-0;0.312;0.312;0.312;0.312;0.553;0.553;0.553;0.553
1-2-0-3-0;0.312;0.312;0.312;0.312;0.550;0.550;0.550;0.550
1-2-0-0-3;0.313;0.313;0.313;0.313;0.548;0.548;0.548;0.548
1-0-2-3-0;0.307;0.307;0.307;0.307;0.559;0.559;0.559;0.559
1-0-2-0-3;0.309;0.309;0.309;0.309;0.557;0.557;0.557;0.557
1-0-0-2-3;0.314;0.314;0.314;0.314;0.550;0.550;0.550;0.550
0-1-2-3-0;0.315;0.315;0.315;0.315;0.563;0.563;0.563;0.563
0-1-2-0-3;0.315;0.315;0.315;0.315;0.561;0.561;0.561;0.561
0-1-0-2-3;0.321;0.321;0.321;0.321;0.554;0.554;0.554;0.554
0-0-1-2-3;0.314;0.314;0.314;0.314;0.559;0.559;0.559;0.559
1-2-3-4-0;0.317;0.317;0.317;0.317;0.568;0.568;0.568;0.568
1-2-3-0-4;0.318;0.318;0.318;0.318;0.563;0.563;0.563;0.563
1-2-0-3-4;0.322;0.322;0.322;0.322;0.561;0.561;0.561;0.561
1-0-2-3-4;0.319;0.319;0.319;0.319;0.566;0.566;0.566;0.566
0-1-2-3-4;0.323;0.323;0.323;0.323;0.570;0.570;0.570;0.570
1-2-3-4-5;0.317;0.317;0.317;0.317;0.565;0.565;0.565;0.565
