;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;204;204;204;204;1142;1142;1142;1142
0-1-0-0-0;239;239;239;239;1402;1402;1402;1402
0-0-1-0-0;169;169;169;169;1040;1040;1040;1040
0-0-0-1-0;256;256;256;256;785;785;785;785
0-0-0-0-1;206;206;206;206;764;764;764;764
1-2-0-0-0;287;287;287;287;1595;1595;1595;1595
1-0-2-0-0;248;248;248;248;1510;1510;1510;1510
1-0-0-2-0;331;331;331;331;1387;1387;1387;1387
1-0-0-0-2;284;284;284;284;1375;1375;1375;1375
0-1-2-0-0;271;271;271;271;1703;1703;1703;1703
0-1-0-2-0;351;351;351;351;1596;1596;1596;1596
0-1-0-0-2;304;304;304;304;1587;1587;1587;1587
0-0-1-2-0;302;302;302;302;1253;1253;1253;1253
0-0-1-0-2;260;260;260;260;1243;1243;1243;1243
0-0-0-1-2;314;314;314;314;1048;1048;1048;1048
1-2-3-0-0;238;240;240;240;1416;1422;1422;1422
1-2-0-3-0;246;247;247;247;1367;1372;1372;1372
1-2-0-0-3;250;251;251;251;1406;1411;1411;1411
1-0-2-3-0;224;227;227;227;1313;1321;1321;1321
1-0-2-0-3;223;226;226;226;1329;1335;1335;1335
1-0-0-2-3;267;266;266;266;1209;1214;1214;1214
0-1-2-3-0;243;245;245;245;1454;1459;1459;1459
0-1-2-0-3;241;243;243;243;1486;1494;1494;1494
0-1-0-2-3;285;287;287;287;1382;1388;1388;1388
0-0-1-2-3;244;247;247;247;1167;1166;1166;1166
1-2-3-4-0;275;276;276;276;1626;1637;1637;1637
1-2-3-0-4;278;279;279;279;1655;1660;1660;1660
1-2-0-3-4;321;322;322;322;1579;1586;1586;1586
1-0-2-3-4;293;293;293;293;1474;1481;1481;1481
0-1-2-3-4;308;309;309;309;1616;1621;1621;1621
1-2-3-4-5;252;254;253;254;1482;1493;1491;1493
