;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;12500297;12500297;12500297;12500297;93416070;93416070;93416070;93416070
0-1-0-0-0;12489693;12489693;12489693;12489693;93517811;93517811;93517811;93517811
0-0-1-0-0;12264386;12264386;12264386;12264386;95184202;95184202;95184202;95184202
0-0-0-1-0;12462807;12462807;12462807;12462807;93727644;93727644;93727644;93727644
0-0-0-0-1;12401600;12401600;12401600;12401600;93306540;93306540;93306540;93306540
1-2-0-0-0;12505229;12505229;12505229;12505229;93089633;93089633;93089633;93089633
1-0-2-0-0;12442915;12442915;12442915;12442915;93791987;93791987;93791987;93791987
1-0-0-2-0;12513328;12513328;12513328;12513328;93150473;93150473;93150473;93150473
1-0-0-0-2;12395526;12395526;12395526;12395526;93066206;93066206;93066206;93066206
0-1-2-0-0;12382310;12382310;12382310;12382310;93904553;93904553;93904553;93904553
0-1-0-2-0;12548837;12548837;12548837;12548837;93660658;93660658;93660658;93660658
0-1-0-0-2;12406643;12406643;12406643;12406643;93027822;93027822;93027822;93027822
0-0-1-2-0;12428131;12428131;12428131;12428131;93910055;93910055;93910055;93910055
0-0-1-0-2;12368115;12368115;12368115;12368115;94204042;94204042;94204042;94204042
0-0-0-1-2;12382500;12382500;12382500;12382500;93370474;93370474;93370474;93370474
1-2-3-0-0;12239053;12560981;12560981;12560981;91650307;94455099;94455099;94455099
1-2-0-3-0;12284265;12640401;12640401;12640401;91538219;94544057;94544057;94544057
1-2-0-0-3;12268577;12647668;12647668;12647668;91847919;94547961;94547961;94547961
1-0-2-3-0;12264418;12613628;12613628;12613628;92396267;95580558;95580558;95580558
1-0-2-0-3;12210977;12575304;12575304;12575304;92529825;95678811;95678811;95678811
1-0-0-2-3;12255153;12701077;12701077;12701077;91989919;95178371;95178371;95178371
0-1-2-3-0;12213430;12563884;12563884;12563884;92633623;95641346;95641346;95641346
0-1-2-0-3;12151802;12519530;12519530;12519530;92556812;95363152;95363152;95363152
0-1-0-2-3;12276722;12698143;12698143;12698143;92047963;95124396;95124396;95124396
0-0-1-2-3;12252739;12610875;12610875;12610875;92730149;95632232;95632232;95632232
1-2-3-4-0;12268353;12602015;12602015;12602015;92054153;94845548;94845548;94845548
1-2-3-0-4;12250611;12546760;12546760;12546760;92198153;94833416;94833416;94833416
1-2-0-3-4;12244010;12611299;12611299;12611299;91731798;94472669;94472669;94472669
1-0-2-3-4;12249685;12646092;12646092;12646092;92290808;95177671;95177671;95177671
0-1-2-3-4;12259953;12646749;12646749;12646749;92494965;95311796;95311796;95311796
1-2-3-4-5;12467561;12663110;12573165;12663110;93916654;95549898;94575752;95549898
