;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0;0;0;0;474;474;474;474
0-1-0-0-0;0;0;0;0;513;513;513;513
0-0-1-0-0;0;0;0;0;650;650;650;650
0-0-0-1-0;0;0;0;0;501;501;501;501
0-0-0-0-1;0;0;0;0;499;499;499;499
1-2-0-0-0;0;0;0;0;665;665;665;665
1-0-2-0-0;0;0;0;0;847;847;847;847
1-0-0-2-0;0;0;0;0;733;733;733;733
1-0-0-0-2;0;0;0;0;705;705;705;705
0-1-2-0-0;0;0;0;0;810;810;810;810
0-1-0-2-0;0;0;0;0;683;683;683;683
0-1-0-0-2;0;0;0;0;694;694;694;694
0-0-1-2-0;0;0;0;0;824;824;824;824
0-0-1-0-2;0;0;0;0;775;775;775;775
0-0-0-1-2;0;0;0;0;679;679;679;679
1-2-3-0-0;0;0;0;0;743;659;659;659
1-2-0-3-0;0;0;0;0;708;623;623;623
1-2-0-0-3;0;0;0;0;706;660;660;660
1-0-2-3-0;0;0;0;0;885;772;772;772
1-0-2-0-3;0;0;0;0;811;740;740;740
1-0-0-2-3;0;0;0;0;770;693;693;693
0-1-2-3-0;0;0;0;0;801;747;747;747
0-1-2-0-3;0;0;0;0;801;730;730;730
0-1-0-2-3;0;0;0;0;739;693;693;693
0-0-1-2-3;0;0;0;0;849;722;722;722
1-2-3-4-0;0;0;0;0;898;818;818;818
1-2-3-0-4;0;0;0;0;863;798;798;798
1-2-0-3-4;0;0;0;0;837;773;773;773
1-0-2-3-4;0;0;0;0;971;842;842;842
0-1-2-3-4;0;0;0;0;930;843;843;843
1-2-3-4-5;0;0;0;0;817;750;785;750
