mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_X-101-64x4d-FPN;hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);scnet_X-101-64x4d-FPN;bbox_ap;mask_ap;tp;tp%;tp_2;tp_2%;fp;fp%;fp_2;fp_2%;tn;tn%;tn_2;tn_2%;fn;fn%;fn_2;fn_2%;correct_guesses;correct_guesses%;incorrect_guesses;incorrect_guesses%;not_guessed;not_guessed%;
0;1;0;2;0;0.598;0.508;106938590;0.48425;106943163;0.46514;10727705;0.04858;13564309;0.05900;94987030;0.43013;101225316;0.44027;8181930;0.03705;8184263;0.03560;10136;0.26108;27820;0.71657;868;0.02236;
0;1;0;0;2;0.597;0.514;109188884;0.48499;109193614;0.46643;10573474;0.04696;13063673;0.05580;97172349;0.43161;103641810;0.44272;8202632;0.03643;8204626;0.03505;10422;0.14533;60711;0.84656;582;0.00812;
0;0;1;2;0;0.607;0.518;109279807;0.48687;109284785;0.47096;10119651;0.04509;12248042;0.05278;97093723;0.43257;102547224;0.44193;7962422;0.03547;7964537;0.03432;10486;0.13818;64885;0.85500;518;0.00683;
0;0;1;0;2;0.605;0.523;109750654;0.48713;109755332;0.46976;9885462;0.04388;12033101;0.05150;97931960;0.43467;104117799;0.44563;7731245;0.03432;7733015;0.03310;10518;0.11137;83437;0.88348;486;0.00515;
0;0;0;1;2;0.597;0.513;109549919;0.48704;109554829;0.46843;10562374;0.04696;13059740;0.05584;97017620;0.43133;103458959;0.44237;7798809;0.03467;7801118;0.03336;10428;0.14558;60627;0.84638;576;0.00804;
1;2;3;0;0;0.607;0.517;109846263;0.48853;109851324;0.47073;11700160;0.05204;14074595;0.06031;95836180;0.42623;101970945;0.43696;7466183;0.03321;7468620;0.03200;10499;0.13265;68146;0.86097;505;0.00638;
1;2;0;3;0;0.599;0.507;108447000;0.48834;108451711;0.46879;11931975;0.05373;14724952;0.06365;94220555;0.42428;100691582;0.43525;7472887;0.03365;7475270;0.03231;10226;0.23489;32531;0.74724;778;0.01787;
1;2;0;0;3;0.597;0.512;109861226;0.48843;109866139;0.46840;11852298;0.05269;14589670;0.06220;95729541;0.42561;102617497;0.43749;7481936;0.03326;7484251;0.03191;10450;0.14058;63330;0.85197;554;0.00745;
1;0;2;3;0;0.607;0.516;110033832;0.48976;110038686;0.47230;11761400;0.05235;14094065;0.06049;95602910;0.42553;101579220;0.43599;7271798;0.03237;7273884;0.03122;10514;0.13257;68308;0.86126;490;0.00618;
1;0;2;0;3;0.605;0.519;110255675;0.48972;110260655;0.47156;11627733;0.05165;13971082;0.05975;96048415;0.42661;102377233;0.43784;7210147;0.03202;7212345;0.03085;10537;0.10865;85974;0.88653;467;0.00482;
