;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.47704;0.52151;0.55293;0.56866;0.57110;0.57362;0.57602;0.57808;0.57832;0.57968;0.57749;0.57687;0.57348;0.57264;0.54754
0-1-0-0-0;0.48362;0.52611;0.55752;0.57047;0.57307;0.57619;0.57426;0.57484;0.57335;0.57270;0.57159;0.56559;0.56443;0.56186;0.52863
0-0-1-0-0;0.51570;0.56652;0.59160;0.60764;0.60842;0.60912;0.60668;0.60445;0.60190;0.59856;0.59693;0.59217;0.58722;0.58125;0.53315
0-0-0-1-0;0.52658;0.57526;0.59752;0.60583;0.60336;0.60086;0.59904;0.59751;0.59656;0.59311;0.58987;0.58632;0.58227;0.57633;0.52198
0-0-0-0-1;0.52688;0.56821;0.59453;0.60602;0.60451;0.60422;0.60337;0.60160;0.59859;0.59813;0.59258;0.58826;0.58166;0.57639;0.52827
