;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;31;19;16;15;15;15;15;15;15;15;15;15;15;15;9
0-1-0-0-0;86;50;40;22;22;22;22;22;21;21;21;21;21;15;14
0-0-1-0-0;97;83;69;46;38;31;31;30;30;18;6;6;6;6;6
0-0-0-1-0;60;57;38;24;24;24;24;24;0;0;0;0;0;0;0
0-0-0-0-1;45;40;36;36;36;36;36;36;29;12;12;0;0;0;0
