;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;4506;3285;2488;1869;1762;1660;1557;1461;1375;1287;1221;1142;1076;985;628
0-1-0-0-0;4411;3206;2404;1809;1704;1586;1493;1402;1320;1241;1157;1100;1017;944;582
0-0-1-0-0;3810;2594;1844;1284;1204;1117;1040;960;888;826;754;700;637;581;337
0-0-0-1-0;3437;2271;1601;1139;1067;988;934;863;785;713;648;596;542;498;265
0-0-0-0-1;3464;2412;1713;1206;1123;1047;969;908;844;764;714;661;609;546;312
