;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;109;117;122;125;125;125;125;125;126;126;127;127;128;129;129
0-1-0-0-0;107;111;115;120;120;120;121;123;124;124;125;125;126;127;129
0-0-1-0-0;99;112;116;121;123;123;123;123;124;125;127;127;129;129;131
0-0-0-1-0;106;112;119;123;124;125;125;125;127;127;128;128;128;129;131
0-0-0-0-1;108;115;120;121;121;121;121;122;123;125;125;126;126;126;128
