;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.03691;0.03652;0.03630;0.03580;0.03574;0.03573;0.03570;0.03569;0.03571;0.03564;0.03558;0.03561;0.03560;0.03557;0.03520
0-1-0-0-0;0.03655;0.03607;0.03556;0.03554;0.03551;0.03547;0.03540;0.03537;0.03543;0.03530;0.03523;0.03523;0.03516;0.03512;0.03455
0-0-1-0-0;0.03226;0.03222;0.03218;0.03221;0.03218;0.03212;0.03207;0.03206;0.03199;0.03196;0.03197;0.03193;0.03193;0.03187;0.03123
0-0-0-1-0;0.03555;0.03552;0.03540;0.03510;0.03495;0.03493;0.03491;0.03494;0.03487;0.03479;0.03476;0.03473;0.03472;0.03468;0.03429
0-0-0-0-1;0.03326;0.03312;0.03285;0.03266;0.03263;0.03262;0.03254;0.03249;0.03244;0.03221;0.03214;0.03197;0.03196;0.03179;0.03139
