;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;157;93;69;63;55;55;55;55;50;50;41;41;36;36;30
0-1-0-0-0;196;148;115;71;71;71;65;57;56;56;50;50;39;33;32
0-0-1-0-0;284;170;131;87;65;58;58;57;54;42;27;27;25;25;18
0-0-0-1-0;181;150;93;66;54;50;50;50;26;26;22;22;22;21;16
0-0-0-0-1;191;138;92;87;87;87;87;76;69;47;47;35;35;35;29
