;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.25521;0.26383;0.26794;0.25341;0.23967;0.23729;0.23699;0.24036;0.23423;0.23476;0.21538;0.20872;0.19122;0.18730;0.12333
0-1-0-0-0;0.25000;0.27655;0.28365;0.25405;0.24725;0.24302;0.23699;0.23167;0.22619;0.21084;0.21037;0.19632;0.17957;0.17241;0.11921
0-0-1-0-0;0.29181;0.32569;0.31496;0.30564;0.30723;0.30341;0.28349;0.26984;0.25879;0.25484;0.24351;0.22801;0.21595;0.20736;0.14676
0-0-0-1-0;0.26607;0.30024;0.29050;0.26586;0.26154;0.25078;0.24684;0.23718;0.22222;0.21452;0.20530;0.19205;0.18937;0.18060;0.10922
0-0-0-0-1;0.29400;0.29929;0.30387;0.28267;0.27160;0.25705;0.25079;0.24444;0.24194;0.23684;0.22112;0.21595;0.20333;0.18792;0.14483
