;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;4826;4686;4553;4356;4320;4284;4245;4206;4162;4122;4076;4029;3974;3919;3571
0-1-0-0-0;4837;4667;4532;4330;4294;4253;4191;4148;4094;4050;3996;3926;3878;3823;3423
0-0-1-0-0;4838;4688;4485;4292;4252;4208;4151;4093;4037;3980;3932;3873;3810;3741;3317
0-0-0-1-0;4777;4592;4405;4208;4151;4092;4049;4000;3955;3892;3836;3786;3729;3669;3220
0-0-0-0-1;4793;4618;4444;4243;4187;4145;4095;4049;3993;3947;3885;3828;3758;3692;3271
