;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;6930;4998;3761;2851;2687;2540;2398;2255;2114;1977;1875;1753;1653;1519;983
0-1-0-0-0;6440;4605;3429;2594;2440;2282;2155;2030;1918;1799;1679;1584;1466;1359;873
0-0-1-0-0;5916;3996;2848;2016;1885;1755;1631;1514;1404;1308;1213;1128;1028;951;559
0-0-0-1-0;5417;3636;2611;1906;1794;1678;1585;1474;1359;1252;1156;1076;994;918;548
0-0-0-0-1;5667;3936;2860;2026;1890;1777;1663;1558;1446;1330;1246;1158;1076;975;593
