;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.09935;0.09946;0.09646;0.09687;0.09186;0.09307;0.09400;0.09297;0.09299;0.09414;0.09388;0.09501;0.09268;0.09409;0.09389
0-1-0-0-0;0.11735;0.11616;0.11167;0.11271;0.11288;0.11150;0.11315;0.11240;0.11341;0.11093;0.11041;0.11127;0.11242;0.10749;0.10540
0-0-1-0-0;0.10488;0.10616;0.10691;0.10763;0.10740;0.10996;0.11043;0.11144;0.11139;0.10970;0.11051;0.10637;0.10712;0.10519;0.11186
0-0-0-1-0;0.10934;0.10505;0.10769;0.10705;0.10729;0.10766;0.10670;0.10577;0.10408;0.10577;0.10551;0.10649;0.10560;0.10594;0.10782
0-0-0-0-1;0.11109;0.11000;0.11005;0.10968;0.11120;0.10964;0.11057;0.10914;0.10942;0.10973;0.10614;0.10508;0.10404;0.10679;0.10403
