;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;0.46032;0.46185;0.46220;0.46300;0.46323;0.46365;0.46372;0.46372;0.46383;0.46417;0.46433;0.46423;0.46430;0.46468;0.46614
0-1-0-0-0;0.46273;0.46360;0.46432;0.46531;0.46522;0.46533;0.46548;0.46542;0.46573;0.46614;0.46667;0.46679;0.46739;0.46748;0.47012
0-0-1-0-0;0.47084;0.47143;0.47209;0.47270;0.47238;0.47271;0.47300;0.47316;0.47347;0.47346;0.47367;0.47411;0.47419;0.47435;0.47562
0-0-0-1-0;0.46641;0.46697;0.46779;0.46936;0.46980;0.47008;0.47016;0.46999;0.47008;0.47013;0.47028;0.47055;0.47079;0.47103;0.47191
0-0-0-0-1;0.46681;0.46756;0.46870;0.47024;0.47024;0.47037;0.47054;0.47107;0.47125;0.47164;0.47192;0.47228;0.47262;0.47323;0.47488
