;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;23;15;10;7;7;7;7;7;6;6;5;5;4;3;3
0-1-0-0-0;25;21;17;12;12;12;11;9;8;8;7;7;6;5;3
0-0-1-0-0;33;20;16;11;9;9;9;9;8;7;5;5;3;3;1
0-0-0-1-0;26;20;13;9;8;7;7;7;5;5;4;4;4;3;1
0-0-0-0-1;24;17;12;11;11;11;11;10;9;7;7;6;6;6;4
