;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;6395;4676;3526;2708;2553;2417;2287;2160;2028;1898;1803;1689;1593;1464;953
0-1-0-0-0;5799;4211;3184;2435;2299;2151;2039;1923;1822;1710;1598;1508;1396;1296;839
0-0-1-0-0;5341;3683;2646;1902;1784;1669;1553;1446;1344;1254;1164;1084;993;920;545
0-0-0-1-0;4873;3334;2435;1804;1706;1602;1517;1413;1311;1209;1116;1036;957;886;531
0-0-0-0-1;5186;3654;2681;1920;1798;1694;1590;1488;1386;1280;1200;1120;1039;941;574
