;c=0.2;c=0.3;c=0.4;c=0.5;c=0.52;c=0.54;c=0.56;c=0.58;c=0.6;c=0.62;c=0.64;c=0.66;c=0.68;c=0.7;c=0.8
1-0-0-0-0;3763;3313;2907;2441;2333;2232;2184;2151;2041;1981;1855;1723;1594;1506;1017
0-1-0-0-0;3965;3580;3090;2521;2451;2395;2303;2186;2099;1987;1941;1821;1683;1551;966
0-0-1-0-0;4275;3636;3234;2818;2725;2620;2464;2331;2217;2163;2059;1979;1900;1822;1278
0-0-0-1-0;3774;3346;2725;2320;2295;2213;2184;2096;1930;1846;1793;1701;1654;1575;1015
0-0-0-0-1;3756;3277;2942;2512;2404;2321;2283;2173;2146;2042;1879;1846;1758;1632;1199
